ID,Section,Type,Priority,Status,Task,Detail,Owner / Blocked on,Due,Source,Notes
E3,E. Dunning & win-back,Task,P0,Blocked,Test new dunning event system end-to-end before go-live,pro_subscription/pro_billing restructured with subscription_stage (access_ended voluntary/involuntary) and mandate_status (active/revoked/paused) props. Anmol deployed to staging but Ashish confirmed events unusable until tested end-to-end.,Ashish / Anmol,,25 Aug dunning events call,
E4,E. Dunning & win-back,Task,P1,Open,Add order_type to pro_payment (parent vs renewal),"Old pro_payment event has no order_type field, so parent vs renewal orders are indistinguishable for targeting.",Data / Utkarsh,,25 Aug dunning events call,
E5,E. Dunning & win-back,Decision needed,P2,Open,Why aren't pro_subscription and pro_billing a single event?,Open design question raised on the call.,Utkarsh,,25 Aug dunning events call,
E6,E. Dunning & win-back,Task,P1,Open,Deploy onboarding_completed rename to staging and production,onboarding_completed still not firing on Get Started click on either environment.,Dev,,25 Aug dunning events call,
E7,E. Dunning & win-back,Task,P0,Open,Build Netflix-style mandate retry for involuntary payment failures,Bank errors / insufficient balance / Paytm-side cancels form a large pool currently untargetable for nudges. Proposed cadence: retry every 48h for ~15 days.,Data / Eng,,25 Aug dunning events call,
D14,D. Instrumentation,Task,P1,Open,Fix sector null/undefined in company data exports,"Aug 20 export returned null/undefined sector for companies that should have one per DB (company+industries+locations exist). Suspected cause: export pulled straight from DB, missed the separate sector-tagging join. Distinct from the 86%-articles-have-no-sector-tag structural gap already tracked.",Prapti,,25 Aug sector data call,
D15,D. Instrumentation,Task,P1,Open,Resolve recurring server crashes before re-pulling sector data,"Server hit 100% and crashed 3x in one morning (25 Aug); traffic spike suspected, unconfirmed. Sector re-pull deprioritized until resolved.",Eng / Ashish,,25 Aug sector data call,
P1,P. Explore page signals — Articles & Companies,Task,P0,Open,Lock v2 5-page scope,"Brief, Article Explore, Company Explore, Article Detail, Company Detail. 26 Aug sync set today (27 Aug) as the final scoping deadline; Article Detail screen still pending from Ranjith (3/5 drafted).",Ranjith,27 Aug,26 Aug v2 scoping sync,
P2,P. Explore page signals — Articles & Companies,Task,P0,Blocked,Get paginated companies API / curl from Prapti,"Needed to validate Ritvik's signal thresholds against the full ~75,000-company base — currently tested on only ~100 companies manually, self-rated 30-40% baked.",Prapti / Ritvik,,26 Aug meeting + Ritvik's explore-feed-logic.md,
P3,P. Explore page signals — Articles & Companies,Decision needed,P0,Open,Resolve what signals_count is,"If a typed/pre-computed signals field already exists on the API, the entire client-side rules table (Companies §3 in Ritvik's doc) gets replaced by reading it directly. Highest-leverage single question — should start now, in parallel with Step 1 build.",Data,Start now,Ritvik's explore-feed-logic.md + slide 12 'Five things from the data team',
P4,P. Explore page signals — Articles & Companies,Decision needed,P1,Open,Constants vs corpus-wide percentiles for v1 thresholds,"$100M debut floor, 90-day round window, 18-investor syndicate floor, +/-25%/+150% momentum deltas, 5-industry cross-sector floor are all hand-picked/reverse-engineered from one sample page, not statistically derived.",Product + Data,,Ritvik's explore-feed-logic.md §7,
P5,P. Explore page signals — Articles & Companies,Decision needed,P2,Open,Does Series outrank Session Article in tag priority?,Editorial tie-break decision for the article rules table (first-match-wins order).,Editorial,,Ritvik's explore-feed-logic.md §13,
P6,P. Explore page signals — Articles & Companies,Task,P2,Open,Add event identifier field for session/summit articles,"Today can only render 'From the stage,' never which event it was.",Data + Editorial,,Ritvik's explore-feed-logic.md §13,
P7,P. Explore page signals — Articles & Companies,Task,P2,Open,Add a named-series field,Series is a binary yes/no tag today; no way to show which series a story belongs to.,Data + Editorial,,Ritvik's explore-feed-logic.md §13,
P8,P. Explore page signals — Articles & Companies,Task,P2,Open,Turn [Update] into a real field,"Currently a text prefix inside the title string, not structured data (or add last_updated_at).",Data,,Ritvik's explore-feed-logic.md §13,
P9,P. Explore page signals — Articles & Companies,Task,P2,Open,Get structured earnings figures on What The Financials posts,"Revenue/profit figures currently exist only inside written prose, not as pullable numbers.",Data,,Ritvik's explore-feed-logic.md §13,
P10,P. Explore page signals — Articles & Companies,Decision needed,P2,Open,Present third-party traffic deltas as an editorial signal?,Editorial call on whether momentum/traffic-based signals are trustworthy enough to surface as-is.,Editorial,,Ritvik's explore-feed-logic.md §13,
P11,P. Explore page signals — Articles & Companies,Decision needed,P2,Open,Define the streak metric,"Reads, days, or both — needs a product decision.",Ranjith,,Ritvik's explore-feed-logic.md §13,
P12,P. Explore page signals — Articles & Companies,Task,P1,Open,Fix 9 known payload issues before general availability,Empty-object-not-null; partial objects need field-level null checks; duplicate keys (three_month_change vs 3_month_change); HTML-escaped names; duplicate investors inflating number_of_investors; mixed-granularity location arrays; date-only timestamps (no 'N hours ago'); [Update] embedded in title string; wrong sector tags (e.g. Dogsee Chew tagged 'Tea').,Data / Eng,,Ritvik's explore-feed-logic.md §12,
P13,P. Explore page signals — Articles & Companies,Decision needed,P2,Open,Reconcile the 'Backed by a person' company rule,"Present in the Aug proposal deck's 10-rule list (angel investor, little else), absent from the current 9-rule build reference (explore-feed-logic.md) — confirm if cut, planned, or the doc is stale.",Ritvik,,Found 27 Aug comparing slide deck vs explore-feed-logic.md,
P14,P. Explore page signals — Articles & Companies,Decision needed,P2,Open,Confirm the canonical prototype URL,"Proposal deck links two split prototypes (lustrous-bienenstitch=Companies, unique-speculoos=Articles); Ranjith's reference is a third, merged build (capable-platypus). Confirm which is current before sharing externally.",Ritvik,,Found 27 Aug comparing slide deck vs Ranjith's link,
