User property (name as it is live today),Priority,Action,What Media stores today,In PostHog - Inc42 Live (53557),In Customer.io - Inc42 workspace (208301),Where to change it,What exactly to do,Done when,Where this row came from
Register Source,P3,Fix,"63,526 people, of whom 2,443 have the word 'undefined' in the field. Otherwise sound - it holds 'Inc42' and 'Inc42 Datalabs' and drives four live audience groups.","63,526 people, 2,443 empty or 'undefined'","Present. Feeds audience groups 'Registered via Inc42 Datalabs', 'Launch EDM', 'App', 'Audience' and the automation 'Untitled Automation 28'.","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.",Stop sending 'undefined' - leave the field empty instead. Do not rename or remove this field; four live audience groups and one automation read it.,"No Register Source value is 'undefined', and the four audience groups still have the same number of people in them.",Your sheet row 37.
SECTION 2 - KEEP AS IS ON MEDIA,,,,,,,,,
email,P3,Keep,"92,917 people, none empty. The main email field and the one to keep.","92,917 people, 0 empty","Present, feeds 3 audience groups and 5 campaigns",No change needed.,Nothing. Leave as it is.,n/a - no change,"Live check, 8 Sep 2026"
User Type,P3,Keep,"17,608 people. Values are Registered, Free, Plus Member, Pro Member. Feeds a live campaign.","17,608 people, 0 empty","Present, feeds the campaign 'Inc42 Registered'",No change needed.,Nothing. Leave as it is.,n/a - no change,"Live check, 8 Sep 2026"
User Creation Date,P3,Keep,"29,585 people, readable dates. Keep as the single joining date - see the merge row in Section 1.","29,585 people, 1 empty",Present,No change needed.,Nothing. Leave as it is.,n/a - no change,"Live check, 8 Sep 2026"
Plus Membership Start Date,P3,Keep,"719 people, all readable dates.","719 people, 0 empty",Present,No change needed.,Nothing. Leave as it is.,n/a - no change,"Live check, 8 Sep 2026"
Plus Membership Expiry Date,P3,Keep,"768 people, all readable dates.","768 people, 0 empty",Present,No change needed.,Nothing. Leave as it is.,n/a - no change,"Live check, 8 Sep 2026"
Plus Membership Type,P3,Keep,"269 people. Values name the term - Annual, 2 Year, 3 Year.","269 people, 0 empty",Present,No change needed.,Nothing. Leave as it is.,n/a - no change,"Live check, 8 Sep 2026"
Plus Membership Status,P3,Keep,"501 people. Values active, expired, cancelled, inactive, expired_with_error.","501 people, 0 empty",Not present - see the Section 1 decision row,No change needed.,Nothing. Leave as it is.,n/a - no change,"Live check, 8 Sep 2026"
pro_lifecycle_stage,P3,Keep,"101 people. Values churned, paying, on_hold, in_trial, none. Part of the agreed Pro billing set.","101 people, 0 empty",Present,No change needed.,Nothing. Leave as it is.,n/a - no change,"Live check, 8 Sep 2026"
pro_subscription_status,P3,Keep,"101 people. Values ended, cancel_scheduled, on_hold, in_trial, active, none.","101 people, 0 empty",Present,No change needed.,Nothing. Leave as it is.,n/a - no change,"Live check, 8 Sep 2026"
pro_mandate_status,P3,Keep,"101 people. Values none, active, revoked.","101 people, 0 empty",Present,No change needed.,Nothing. Leave as it is.,n/a - no change,"Live check, 8 Sep 2026"
pro_trial_start_at / pro_trial_end_at,P3,Keep,"101 people each. Readable dates. 42 and 39 are empty, which is correct for people who never had a trial.",101 people each,Present,No change needed.,Nothing. Leave as it is.,n/a - no change,"Live check, 8 Sep 2026"
pro_first_paid_at,P3,Keep,"101 people, 74 empty - correct for people who never paid.","101 people, 74 empty",Present,No change needed.,Nothing. Leave as it is.,n/a - no change,"Live check, 8 Sep 2026"
pro_next_charge_at / pro_next_charge_amount,P3,Keep,101 people each. Readable dates and amounts.,101 people each,Present,No change needed.,Nothing. Leave as it is.,n/a - no change,"Live check, 8 Sep 2026"
pro_current_period_end_at,P3,Keep,"101 people, 7 empty.","101 people, 7 empty",Present,No change needed.,Nothing. Leave as it is.,n/a - no change,"Live check, 8 Sep 2026"
pro_renewal_count,P3,Keep,101 people. Values 0 to 4.,"101 people, 0 empty",Present,No change needed.,Nothing. Leave as it is.,n/a - no change,"Live check, 8 Sep 2026"
products_held,P3,Keep,"101 people. Values datalabs_pro, inc42_plus, both, none. This is how you tell a Plus reader from a Pro reader.","101 people, 0 empty",Present,No change needed.,Nothing. Leave as it is.,n/a - no change,"Live check, 8 Sep 2026"
unsubscribed,P3,Keep,Customer.io's own opt-out record. Load-bearing - do not touch it.,Not present,"Present, feeds 8 audience groups and 1 campaign",No change needed.,Nothing. Leave as it is.,n/a - no change,"Live check, 8 Sep 2026"
cio_subscription_preferences and its six topics,P3,Keep,Customer.io's own subscription centre. This is what actually decides who receives which newsletter.,Not present,"Present, feeds 6 audience groups",No change needed.,Nothing. Leave as it is.,n/a - no change,"Live check, 8 Sep 2026"
Whatsapp_Optin,P3,Keep,"The WhatsApp opt-in record. Keep, but the name should be tidied to whatsapp_opt_in when other renames happen.",Not present,Present,No change needed.,Nothing. Leave as it is.,n/a - no change,"Live check, 8 Sep 2026"
LinkedIn Newsletter Subscribed,P3,Keep,The LinkedIn newsletter opt-in record.,Not present,Present,No change needed.,Nothing. Leave as it is.,n/a - no change,"Live check, 8 Sep 2026"
Lead Type,P3,Keep,Feeds the audience group 'LinkedIn Leads'.,Not present,"Present, feeds 1 audience group",No change needed.,Nothing. Leave as it is.,n/a - no change,"Live check, 8 Sep 2026"
Newsletter Source,P3,Keep,Records where a newsletter sign-up came from.,Not present,Present,No change needed.,Nothing. Leave as it is.,n/a - no change,"Live check, 8 Sep 2026"
products_held / pro_ set - summary,P3,Keep,"The Pro billing set as a whole is the one part of Media's profile data that is correctly named, correctly filled and consistent with DataLabs.",101 people,Present,No change needed.,Nothing. Leave as it is.,n/a - no change,"Live check, 8 Sep 2026"
SECTION 3 - SYSTEM AND VENDOR PLUMBING - NOTHING TO DO,,,,,,,,,
"The 97 PostHog fields beginning with $ (for example $browser, $current_url, $geoip_city_name, $initial_referrer)",,None,PostHog writes these itself on every person. Not written by Inc42 and not something to fix.,97 fields,Not present,No change needed.,Nothing. This is the tool's own plumbing.,n/a - no change,"Live check, 8 Sep 2026"
"utm_source, utm_medium, utm_campaign, utm_content, utm_term",,None,"Campaign tagging carried in the web address. Between 75,276 and 474,097 people each, with 30,710 to 42,610 empty. Leave them - unlike the click IDs these are read by reporting.",5 fields,Not present,No change needed.,Nothing. This is the tool's own plumbing.,n/a - no change,"Live check, 8 Sep 2026"
"cio_id, cio_city, cio_country, cio_region, cio_postal_code, cio_continent, cio_iso_continent, cio_iso_country, cio_iso_region, cio_latitude, cio_longitude, cio_timezone, cio_location_source",,None,Customer.io writes these itself from the reader's connection. cio_id feeds the 'All Users' audience group.,Not present,"13 fields, written by Customer.io",No change needed.,Nothing. This is the tool's own plumbing.,n/a - no change,"Live check, 8 Sep 2026"
"_created_in_customerio_at, anonymous_id, id",,None,Customer.io's own record-keeping fields. Note the separate Section 1 row about audience groups built on 'id'.,Not present,"3 fields, written by Customer.io",No change needed.,Nothing. This is the tool's own plumbing.,n/a - no change,"Live check, 8 Sep 2026"
