event_group	event_name	display_name	property	trigger_steps	trigger_url	login_state	event_property_groups	custom_event_properties	trigger_identify_call	expected_traits	source	destinations	automatable	test_notes	description	audit_status	audit_date	audit_notes
app_engagement	tracked_sector_count	tracked_sector_count	app	Observation only - cannot be driven from Chrome. Complete a Brief in the app, then check the App PostHog project (146258)		logged-in	app	tracked_sector_count:string	Yes	tracked_sector_count = Live in production and not in the spec. Add it.	ios | android	posthog | customerio	observe	App PH 73 / CIO 4% ; PostHog people: 73 ; Newly found by audit ; Live sample values: 0 | 1 | 2 | 3 | 12 (72 set)	Live in production and not in the spec. Add it.	ADD	2026-09-07	Current: PostHog: tracked_sector_count ; Customer.io: tracked_sector_count -> Expected: tracked_sector_count | Not in the spec; live in production. Add as tracked_sector_count. | Live in production and not in the spec. Add it.
app_engagement	walkthrough_status	walkthrough_status	app	Observation only - cannot be driven from Chrome. Complete a Brief in the app, then check the App PostHog project (146258)		logged-in	app	walkthrough_status:string	Yes	walkthrough_status = Live in production and not in the spec. Add it.	ios | android	posthog | customerio	observe	App PH 822 / CIO 43% ; PostHog people: 822 ; Newly found by audit ; Live sample values: completed | skipped (818 set)	Live in production and not in the spec. Add it.	ADD	2026-09-07	Current: PostHog: walkthrough_status ; Customer.io: walkthrough_status -> Expected: walkthrough_status | Not in the spec; live in production. Add as walkthrough_status. | Live in production and not in the spec. Add it.
app_engagement	watchlist_count	watchlist_count	app	Observation only - cannot be driven from Chrome. Complete a Brief in the app, then check the App PostHog project (146258)		logged-in	app	watchlist_count:string	Yes	watchlist_count = Live in production and not in the spec. Add it.	ios | android	posthog | customerio	observe	App PH 105 / CIO 5% ; PostHog people: 105 ; Newly found by audit ; Live sample values: 0 | 1 | 2 | 3 | 4 (104 set)	Live in production and not in the spec. Add it.	ADD	2026-09-07	Current: PostHog: watchlist_count ; Customer.io: watchlist_count -> Expected: watchlist_count | Not in the spec; live in production. Add as watchlist_count. | Live in production and not in the spec. Add it.
consent	dnd	dnd	app	Open the email preference centre from any Inc42 newsletter footer | toggle a preference | save | check the Customer.io profile	TODO-preference-centre-url	logged-in	consent	dnd:string	Yes	dnd = Live in production and not in the spec. Add it.	backend	posthog | customerio	manual	App PH 732 / CIO 39% ; PostHog people: 732 ; Newly found by audit ; Live sample values: false | true (728 set - only 6 are true)	Live in production and not in the spec. Add it.	ADD	2026-09-07	Current: PostHog: dnd ; Customer.io: dnd -> Expected: dnd | Not in the spec; live in production. Add as dnd. | Live in production and not in the spec. Add it.
consent	push_opt_in	push_opt_in	app	Open the email preference centre from any Inc42 newsletter footer | toggle a preference | save | check the Customer.io profile	TODO-preference-centre-url	logged-in	consent	push_opt_in:string	Yes	push_opt_in = Live in production and not in the spec. Add it.	backend	posthog | customerio	manual	App PH 977 / CIO 86% ; PostHog people: 977 ; Newly found by audit ; Live sample values: true | false (972 set)	Live in production and not in the spec. Add it.	ADD	2026-09-07	Current: PostHog: push_opt_in ; Customer.io: push_opt_in -> Expected: push_opt_in | Not in the spec; live in production. Add as push_opt_in. | Live in production and not in the spec. Add it.
consent	push_types_enabled	push_types_enabled	app	Open the email preference centre from any Inc42 newsletter footer | toggle a preference | save | check the Customer.io profile	TODO-preference-centre-url	logged-in	consent	push_types_enabled:string	Yes	push_types_enabled = Live in production and not in the spec. Add it.	backend	posthog | customerio	manual	App PH 27 / CIO 1% ; PostHog people: 27 ; Newly found by audit ; Live sample values: NOT SAMPLED - CIO-only, 1% of profiles, too rare to hit	Live in production and not in the spec. Add it.	ADD	2026-09-07	Current: PostHog: push_types_enabled ; Customer.io: push_types_enabled -> Expected: push_types_enabled | Not in the spec; live in production. Add as push_types_enabled. | Live in production and not in the spec. Add it.
events_object	events (object) · edition	events.edition	inc42	Observation only - Customer.io 'events' object/relationship, rebuilt from paid_events. Not yet live		n/a	events	events.edition:string	No	events.edition = TODO-confirm expected value with owner	backend	TODO-confirm	observe	Live sample values: 2026		ADD	2026-09-07	Current: not currently live -> Expected: events.edition | Not in the spec; live in production. Add as events.edition.
events_object	events (object) · format	events.format	inc42	Observation only - Customer.io 'events' object/relationship, rebuilt from paid_events. Not yet live		n/a	events	events.format:string	No	events.format = was paid_events.kind	backend	TODO-confirm	observe	Live sample values: summit | cohort | webinar | workshop | program	was paid_events.kind	ADD	2026-09-07	Current: not currently live -> Expected: events.format | Not in the spec; live in production. Add as events.format. | was paid_events.kind
events_object	events (object) · franchise	events.franchise	inc42	Observation only - Customer.io 'events' object/relationship, rebuilt from paid_events. Not yet live		n/a	events	events.franchise:string	No	events.franchise = TODO-confirm expected value with owner	backend	TODO-confirm	observe	Live sample values: D2C Summit		ADD	2026-09-07	Current: not currently live -> Expected: events.franchise | Not in the spec; live in production. Add as events.franchise.
events_object	events (object) · is_paid	events.is_paid	inc42	Observation only - Customer.io 'events' object/relationship, rebuilt from paid_events. Not yet live		n/a	events	events.is_paid:string	No	events.is_paid = NEW — captures free vs paid events	backend	TODO-confirm	observe	Live sample values: true | false	NEW — captures free vs paid events	ADD	2026-09-07	Current: not currently live -> Expected: events.is_paid | Not in the spec; live in production. Add as events.is_paid. | NEW — captures free vs paid events
events_object	events (object) · name	events.name	inc42	Observation only - Customer.io 'events' object/relationship, rebuilt from paid_events. Not yet live		n/a	events	events.name:string	No	events.name = TODO-confirm expected value with owner	backend	TODO-confirm	observe	Live sample values: D2C Summit 2026		ADD	2026-09-07	Current: not currently live -> Expected: events.name | Not in the spec; live in production. Add as events.name.
events_object	events (object) · object_id	events.object_id	inc42	Observation only - Customer.io 'events' object/relationship, rebuilt from paid_events. Not yet live		n/a	events	events.object_id:string	No	events.object_id = slug key	backend	TODO-confirm	observe	Live sample values: d2c_summit_2026	slug key	ADD	2026-09-07	Current: not currently live -> Expected: events.object_id | Not in the spec; live in production. Add as events.object_id. | slug key
events_object	events (rel) · amount	events.rel_amount	inc42	Observation only - Customer.io 'events' object/relationship, rebuilt from paid_events. Not yet live		n/a	events	events.rel_amount:string	No	events.rel_amount = from fact_orders (← Charge Amount / DRS Payment)	backend	TODO-confirm	observe	Live sample values: 4128.82	from fact_orders (← Charge Amount / DRS Payment)	ADD	2026-09-07	Current: not currently live -> Expected: events.rel_amount | Not in the spec; live in production. Add as events.rel_amount. | from fact_orders (← Charge Amount / DRS Payment)
events_object	events (rel) · paid_at	events.rel_paid_at	inc42	Observation only - Customer.io 'events' object/relationship, rebuilt from paid_events. Not yet live		n/a	events	events.rel_paid_at:string	No	events.rel_paid_at = new	backend	TODO-confirm	observe	Live sample values: datetime	new	ADD	2026-09-07	Current: not currently live -> Expected: events.rel_paid_at | Not in the spec; live in production. Add as events.rel_paid_at. | new
events_object	events (rel) · status	events.rel_status	inc42	Observation only - Customer.io 'events' object/relationship, rebuilt from paid_events. Not yet live		n/a	events	events.rel_status:string	No	events.rel_status = warehouse funnel_stage (D2CX cohort funnel); attendance (attended/no-show) is a SEPARATE dimension (attendance_status)	backend	TODO-confirm	observe	Live sample values: lead | application | registered | shortlisted | paid_user (| NULL)	warehouse funnel_stage (D2CX cohort funnel); attendance (attended/no-show) is a SEPARATE dimension (attendance_status)	ADD	2026-09-07	Current: not currently live -> Expected: events.rel_status | Not in the spec; live in production. Add as events.rel_status. | warehouse funnel_stage (D2CX cohort funnel); attendance (attended/no-show) is a SEPARATE dimension (attendance_status)
events_object	events (rel) · ticket_quantity	events.rel_ticket_quantity	inc42	Observation only - Customer.io 'events' object/relationship, rebuilt from paid_events. Not yet live		n/a	events	events.rel_ticket_quantity:string	No	events.rel_ticket_quantity = ← Quantity	backend	TODO-confirm	observe	Live sample values: 1 | 2 | 3	← Quantity	ADD	2026-09-07	Current: not currently live -> Expected: events.rel_ticket_quantity | Not in the spec; live in production. Add as events.rel_ticket_quantity. | ← Quantity
geo	country	country	inc42	Observation only - set by PostHog GeoIP and Customer.io IP enrichment, not by a user action		any	device	country:string	No	country = Live and populated. Missing from the spec.	backend	customerio	observe	Media CIO 44% ; Newly found by audit ; Live sample values: India (44% of CIO profiles)	Live and populated. Missing from the spec.	ADD	2026-09-07	Current: Customer.io: country -> Expected: country | Not in the spec; live in production. Add as country. | Live and populated. Missing from the spec.
geo	state	state	inc42	Observation only - set by PostHog GeoIP and Customer.io IP enrichment, not by a user action		any	device	state:string	No	state = Live and populated. Missing from the spec.	backend	customerio	observe	Media CIO 42% ; Newly found by audit ; Live sample values: Delhi (42% of CIO profiles)	Live and populated. Missing from the spec.	ADD	2026-09-07	Current: Customer.io: state -> Expected: state | Not in the spec; live in production. Add as state. | Live and populated. Missing from the spec.
lifecycle	auth_method	auth_method	app	Register a fresh test account | then sign out and sign back in | inspect identify() on both	https://inc42.com	logged-out	user	auth_method:string	Yes	auth_method = Live in production and not in the spec. Add it.	web | backend	posthog | customerio	auto	App PH 766 / CIO 41% ; PostHog people: 766 ; Newly found by audit ; Live sample values: google | email | apple (762 set)	Live in production and not in the spec. Add it.	ADD	2026-09-07	Current: PostHog: auth_method ; Customer.io: auth_method -> Expected: auth_method | Not in the spec; live in production. Add as auth_method. | Live in production and not in the spec. Add it.
lifecycle	created_at	created_at	inc42	Register a fresh test account | then sign out and sign back in | inspect identify() on both	https://inc42.com	logged-out	user	created_at:string	Yes	created_at = Live and populated. Missing from the spec.	web | backend	customerio	auto	Media CIO 7% ; Newly found by audit ; Live sample values: NOT SAMPLED - Customer.io-only and absent from the profile checked; open a profile that has it to confirm	Live and populated. Missing from the spec.	ADD	2026-09-07	Current: Customer.io: created_at -> Expected: created_at | Not in the spec; live in production. Add as created_at. | Live and populated. Missing from the spec.
lifecycle	is_registered	is_registered	app	Register a fresh test account | then sign out and sign back in | inspect identify() on both	https://inc42.com	logged-out	user	is_registered:string	Yes	is_registered = Live in production and not in the spec. Add it.	web | backend	posthog | customerio	auto	App PH 766 / CIO 41% ; PostHog people: 766 ; Newly found by audit ; Live sample values: true (762 set - value 'false' NEVER appears)	Live in production and not in the spec. Add it.	ADD	2026-09-07	Current: PostHog: is_registered ; Customer.io: is_registered -> Expected: is_registered | Not in the spec; live in production. Add as is_registered. | Live in production and not in the spec. Add it.
lifecycle	registration_date	registration_date	app	Register a fresh test account | then sign out and sign back in | inspect identify() on both	https://inc42.com	logged-out	user	registration_date:string	Yes	registration_date = Live in production and not in the spec. Add it.	web | backend	posthog | customerio	auto	App PH 381 / CIO 20% ; PostHog people: 381 ; Newly found by audit ; Live sample values: PH: 2026-08-21 08:48:56.516 (378 set) CIO: 2026-09-04T04:29:07.496Z <-- FORMAT MISMATCH between the two	Live in production and not in the spec. Add it.	ADD	2026-09-07	Current: PostHog: registration_date ; Customer.io: registration_date -> Expected: registration_date | Not in the spec; live in production. Add as registration_date. | Live in production and not in the spec. Add it.
payment	products_held	products_held	inc42 | datalabs	DO NOT COMPLETE a real payment | verify on an existing paid test profile in PostHog + Customer.io	https://inc42.com/pro	logged-in	pro | plus	products_held:string	Yes	products_held = Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.	backend	posthog | customerio	observe	Media PH 52 / CIO <1% ; DataLabs PH 52 / CIO <1% ; PostHog people: 104 ; Newly found by audit ; Live sample values: datalabs_pro | inc42_plus | both | none (52 set)	Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.	ADD	2026-09-07	Current: PostHog: products_held ; Customer.io: products_held -> Expected: products_held | Not in the spec; live in production. Add as products_held. | Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.
pro_subscription	pro_current_period_end_at	pro_current_period_end_at	inc42 | datalabs	Open the Pro plan page | start checkout | STOP at the Razorpay screen | verify via pro_subscription / pro_billing events	https://inc42.com/pro	logged-in	pro	pro_current_period_end_at:string	Yes	pro_current_period_end_at = Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.	backend	posthog | customerio	manual	Media PH 52 / CIO <1% ; DataLabs PH 52 / CIO <1% ; PostHog people: 104 ; blank rate: 6% ; Newly found by audit ; Live sample values: same shape as pro_trial_start_at (52 set) || 2026-09-06 12:25:14 | 2026-10-02 01:06:29 (52 set)	Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.	ADD	2026-09-07	Current: PostHog: pro_current_period_end_at ; Customer.io: pro_current_period_end_at -> Expected: pro_current_period_end_at | Not in the spec; live in production. Add as pro_current_period_end_at. | Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.
pro_subscription	pro_first_paid_at	pro_first_paid_at	inc42 | datalabs	Open the Pro plan page | start checkout | STOP at the Razorpay screen | verify via pro_subscription / pro_billing events	https://inc42.com/pro	logged-in	pro	pro_first_paid_at:string	Yes	pro_first_paid_at = Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.	backend	posthog | customerio	manual	Media PH 52 / CIO <1% ; DataLabs PH 52 / CIO <1% ; PostHog people: 104 ; blank rate: 71% ; Newly found by audit ; Live sample values: same shape as pro_trial_start_at (52 set) || 2026-08-31 23:51:21 | 2026-09-02 16:29:20 (15 set)	Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.	ADD	2026-09-07	Current: PostHog: pro_first_paid_at ; Customer.io: pro_first_paid_at -> Expected: pro_first_paid_at | Not in the spec; live in production. Add as pro_first_paid_at. | Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.
pro_subscription	Pro Last Payment Date	pro_last_payment_date	inc42 | datalabs | app	Open the Pro plan page | start checkout | STOP at the Razorpay screen | verify via pro_subscription / pro_billing events	https://inc42.com/pro	logged-in	pro	pro_last_payment_date:string	Yes	pro_last_payment_date = Add from billing into CIO.	backend	TODO-confirm	manual	Media Add ; DataLabs Add ; App Write same slug ; Your sheet row 20 ; Live sample values: date	Pro parity w/ plus_last_payment_date — keep separate from Plus; do NOT club into one Memberships object (product unifies next yr)	ADD	2026-09-07	Current: not currently live -> Expected: pro_last_payment_date | CONFLICT: MASTER - User Properties tab says ALREADY ADDED; this Fixes Plan (carries Utkarsh decisions) says ADD - Fixes Plan taken. | Not in the spec; live in production. Add as pro_last_payment_date. | Add from billing into CIO. | Pro parity w/ plus_last_payment_date — keep separate from Plus; do NOT club into one Memberships object (product unifies next yr)
pro_subscription	pro_lifecycle_stage	pro_lifecycle_stage	inc42 | datalabs	Open the Pro plan page | start checkout | STOP at the Razorpay screen | verify via pro_subscription / pro_billing events	https://inc42.com/pro	logged-in	pro	pro_lifecycle_stage:string	Yes	pro_lifecycle_stage = Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.	backend	posthog | customerio	manual	Media PH 52 / CIO <1% ; DataLabs PH 52 / CIO <1% ; PostHog people: 104 ; Newly found by audit ; Live sample values: paying | in_trial | churned | on_hold | none (52 set)	Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.	ADD	2026-09-07	Current: PostHog: pro_lifecycle_stage ; Customer.io: pro_lifecycle_stage -> Expected: pro_lifecycle_stage | Not in the spec; live in production. Add as pro_lifecycle_stage. | Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.
pro_subscription	pro_mandate_status	pro_mandate_status	inc42 | datalabs	Open the Pro plan page | start checkout | STOP at the Razorpay screen | verify via pro_subscription / pro_billing events	https://inc42.com/pro	logged-in	pro	pro_mandate_status:string	Yes	pro_mandate_status = Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.	backend	posthog | customerio	manual	Media PH 52 / CIO <1% ; DataLabs PH 52 / CIO <1% ; PostHog people: 104 ; Newly found by audit ; Live sample values: active | revoked | none (52 set) || active | revoked | none (52 set - 5 currently revoked)	Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.	ADD	2026-09-07	Current: PostHog: pro_mandate_status ; Customer.io: pro_mandate_status -> Expected: pro_mandate_status | Not in the spec; live in production. Add as pro_mandate_status. | Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.
pro_subscription	Pro Membership Expiry Date	pro_membership_expiry_date	inc42 | datalabs	Open the Pro plan page | start checkout | STOP at the Razorpay screen | verify via pro_subscription / pro_billing events	https://inc42.com/pro	logged-in	pro	pro_membership_expiry_date:string	Yes	pro_membership_expiry_date = Add from billing into CIO.	backend	posthog | customerio	manual	Media PH 52 / CIO <1% ; DataLabs PH 52 / CIO <1% ; PostHog people: 104 ; blank rate: 6% ; Your sheet row 18 ; Live sample values: 2027-01-15 (datetime)	Pro parity w/ plus_membership_expiry_date — keep separate from Plus; do NOT club into one Memberships object (product unifies next yr)	ADD	2026-09-07	Current: PostHog: Pro Membership Expiry Date ; Customer.io: Pro Membership Expiry Date -> Expected: pro_membership_expiry_date | CONFLICT: MASTER - User Properties tab says ALREADY ADDED; this Fixes Plan (carries Utkarsh decisions) says ADD - Fixes Plan taken. | Not in the spec; live in production. Add as pro_membership_expiry_date. | Add from billing into CIO. | Pro parity w/ plus_membership_expiry_date — keep separate from Plus; do NOT club into one Memberships object (product unifies next yr)
pro_subscription	Pro Membership Start Date	pro_membership_start_date	inc42 | datalabs | app	Open the Pro plan page | start checkout | STOP at the Razorpay screen | verify via pro_subscription / pro_billing events	https://inc42.com/pro	logged-in	pro	pro_membership_start_date:string	Yes	pro_membership_start_date = Add from Razorpay/billing into CIO. Do not copy Plus dates.	backend	TODO-confirm	manual	Media Add. Plus already has plus_membership_start_date. ; DataLabs Add. Pro type exists. Start date does not. ; App Write same slug ; Your sheet row 17 ; Live sample values: 2026-01-15 (datetime)	Pro parity w/ plus_membership_start_date — source from Razorpay/billing pipe — keep separate from Plus; do NOT club into one Memberships object (product unifies next yr)	ADD	2026-09-07	Current: not currently live -> Expected: pro_membership_start_date | CONFLICT: MASTER - User Properties tab says ALREADY ADDED; this Fixes Plan (carries Utkarsh decisions) says ADD - Fixes Plan taken. | Not in the spec; live in production. Add as pro_membership_start_date. | Add from Razorpay/billing into CIO. Do not copy Plus dates. | Pro parity w/ plus_membership_start_date — source from Razorpay/billing pipe — keep separate from Plus; do NOT club into one Memberships object (product unifies next yr)
pro_subscription	pro_next_charge_amount	pro_next_charge_amount	inc42 | datalabs	Open the Pro plan page | start checkout | STOP at the Razorpay screen | verify via pro_subscription / pro_billing events	https://inc42.com/pro	logged-in	pro	pro_next_charge_amount:string	Yes	pro_next_charge_amount = Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.	backend	posthog | customerio	manual	Media PH 52 / CIO <1% ; DataLabs PH 52 / CIO <1% ; PostHog people: 104 ; Newly found by audit ; Live sample values: 0 | 1768.82 | 41300 (52 set) || 0 | 1768.82 | 41300 (52 set - NOT a constant)	Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.	ADD	2026-09-07	Current: PostHog: pro_next_charge_amount ; Customer.io: pro_next_charge_amount -> Expected: pro_next_charge_amount | Not in the spec; live in production. Add as pro_next_charge_amount. | Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.
pro_subscription	pro_next_charge_at	pro_next_charge_at	inc42 | datalabs	Open the Pro plan page | start checkout | STOP at the Razorpay screen | verify via pro_subscription / pro_billing events	https://inc42.com/pro	logged-in	pro	pro_next_charge_at:string	Yes	pro_next_charge_at = Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.	backend	posthog | customerio	manual	Media PH 52 / CIO <1% ; DataLabs PH 52 / CIO <1% ; PostHog people: 104 ; blank rate: 52% ; Newly found by audit ; Live sample values: 2026-09-09 11:42:33 | 2026-10-02 01:06:29 (52 set) || 2026-09-09 11:42:33 | 2026-10-02 01:06:29 (25 set)	Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.	ADD	2026-09-07	Current: PostHog: pro_next_charge_at ; Customer.io: pro_next_charge_at -> Expected: pro_next_charge_at | Not in the spec; live in production. Add as pro_next_charge_at. | Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.
pro_subscription	Pro Next Payment Date	pro_next_payment_date	inc42 | datalabs	Open the Pro plan page | start checkout | STOP at the Razorpay screen | verify via pro_subscription / pro_billing events	https://inc42.com/pro	logged-in	pro	pro_next_payment_date:string	Yes	pro_next_payment_date = Add from billing into CIO.	backend	posthog | customerio	manual	Media PH 52 / CIO <1% ; DataLabs PH 52 / CIO <1% ; PostHog people: 104 ; blank rate: 52% ; Your sheet row 19 ; Live sample values: date	Pro parity w/ plus_next_payment_date — keep separate from Plus; do NOT club into one Memberships object (product unifies next yr)	ADD	2026-09-07	Current: PostHog: Pro Next Payment Date ; Customer.io: Pro Next Payment Date -> Expected: pro_next_payment_date | CONFLICT: MASTER - User Properties tab says ALREADY ADDED; this Fixes Plan (carries Utkarsh decisions) says ADD - Fixes Plan taken. | Not in the spec; live in production. Add as pro_next_payment_date. | Add from billing into CIO. | Pro parity w/ plus_next_payment_date — keep separate from Plus; do NOT club into one Memberships object (product unifies next yr)
pro_subscription	pro_renewal_count	pro_renewal_count	inc42 | datalabs	Open the Pro plan page | start checkout | STOP at the Razorpay screen | verify via pro_subscription / pro_billing events	https://inc42.com/pro	logged-in	pro	pro_renewal_count:string	Yes	pro_renewal_count = Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.	backend	posthog | customerio	manual	Media PH 52 / CIO <1% ; DataLabs PH 52 / CIO <1% ; PostHog people: 104 ; Newly found by audit ; Live sample values: 0 | 1 | 2 | 4 (52 set)	Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.	ADD	2026-09-07	Current: PostHog: pro_renewal_count ; Customer.io: pro_renewal_count -> Expected: pro_renewal_count | Not in the spec; live in production. Add as pro_renewal_count. | Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.
pro_subscription	pro_subscription_status	pro_subscription_status	inc42 | datalabs	Open the Pro plan page | start checkout | STOP at the Razorpay screen | verify via pro_subscription / pro_billing events	https://inc42.com/pro	logged-in	pro	pro_subscription_status:string	Yes	pro_subscription_status = Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.	backend	posthog | customerio	manual	Media PH 52 / CIO <1% ; DataLabs PH 52 / CIO <1% ; PostHog people: 104 ; Newly found by audit ; Live sample values: active | in_trial | cancel_scheduled | ended | none (52 set) || active | in_trial | cancel_scheduled | ended | on_hold (52 set)	Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.	ADD	2026-09-07	Current: PostHog: pro_subscription_status ; Customer.io: pro_subscription_status -> Expected: pro_subscription_status | Not in the spec; live in production. Add as pro_subscription_status. | Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.
pro_subscription	pro_trial_end_at	pro_trial_end_at	inc42 | datalabs	Open the Pro plan page | start checkout | STOP at the Razorpay screen | verify via pro_subscription / pro_billing events	https://inc42.com/pro	logged-in	pro	pro_trial_end_at:string	Yes	pro_trial_end_at = Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.	backend	posthog | customerio	manual	Media PH 52 / CIO <1% ; DataLabs PH 52 / CIO <1% ; PostHog people: 104 ; blank rate: 37% ; Newly found by audit ; Live sample values: same shape as pro_trial_start_at (52 set) || 2026-09-06 12:25:14 | 2026-09-09 11:42:35 (31 set)	Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.	ADD	2026-09-07	Current: PostHog: pro_trial_end_at ; Customer.io: pro_trial_end_at -> Expected: pro_trial_end_at | Not in the spec; live in production. Add as pro_trial_end_at. | Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.
pro_subscription	pro_trial_start_at	pro_trial_start_at	inc42 | datalabs	Open the Pro plan page | start checkout | STOP at the Razorpay screen | verify via pro_subscription / pro_billing events	https://inc42.com/pro	logged-in	pro	pro_trial_start_at:string	Yes	pro_trial_start_at = Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.	backend	posthog | customerio	manual	Media PH 52 / CIO <1% ; DataLabs PH 52 / CIO <1% ; PostHog people: 104 ; blank rate: 40% ; Newly found by audit ; Live sample values: 2026-08-21 00:34:55 | 2026-09-01 23:11:40 (52 set) || 2026-08-26 01:06:29 | 2026-09-02 11:42:33 (31 set)	Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.	ADD	2026-09-07	Current: PostHog: pro_trial_start_at ; Customer.io: pro_trial_start_at -> Expected: pro_trial_start_at | Not in the spec; live in production. Add as pro_trial_start_at. | Live Pro billing slug on Media and DataLabs. Your rows 17-21 target different names. Reconcile to one set.
professional	role	role	app	Sign in | open Profile / complete-your-profile | set Designation, Seniority, Function | save | inspect identify()	https://inc42.com/profile/	logged-in	user	role:string	Yes	role = Live in production and not in the spec. Add it.	web | backend	posthog | customerio	auto	App PH 866 / CIO 45% ; PostHog people: 866 ; Newly found by audit ; Live sample values: other | founder | operator | investor | bd (862 set)	Live in production and not in the spec. Add it.	ADD	2026-09-07	Current: PostHog: role ; Customer.io: role -> Expected: role | Not in the spec; live in production. Add as role. | Live in production and not in the spec. Add it.
attribution	Form ID	form_id	inc42	Open any inc42.com URL with utm_source/utm_medium/utm_campaign appended | complete registration in the same session | inspect identify()	https://inc42.com/?utm_source=audit&utm_medium=test&utm_campaign=prop_audit	logged-out	attribution	form_id:string	Yes	none - property removed	web	posthog | customerio	auto	Media PH 16,176 ; PostHog people: 16,176 ; Newly found by audit ; Live sample values: 1 | 44 | 85 | 88 | 96 (16,176 set)	event-scoped form ref (better as event property) | red = delete (Utk)	DELETE	2026-09-07	Current: PostHog: Form ID ; PH Main: Form ID' (16,176) rename→'form_id' ; CIO Main: — (not in this workspace) ; CIO DataLabs: — (not in this workspace) -> Expected: — (removed) | Remove from both PostHog and Customer.io once gated. | Transactional email payload leftover sitting on the profile. Should not be a user property. | event-scoped form ref (better as event property) | red = delete (Utk)
attribution	mc_cid	mc_cid	inc42 | datalabs	Open any inc42.com URL with utm_source/utm_medium/utm_campaign appended | complete registration in the same session | inspect identify()	https://inc42.com/?utm_source=audit&utm_medium=test&utm_campaign=prop_audit	logged-out	attribution	mc_cid:string	Yes	none - property removed	web	posthog	auto	Media PH 42,407 ; DataLabs PH 34,019 ; PostHog people: 76,426 ; blank rate: 100% ; Newly found by audit ; Live sample values: c7ef0beb7c (Mailchimp campaign id)	Mailchimp campaign tracking id, auto-captured — noise | red = delete (Utk)	DELETE	2026-09-07	Current: PostHog: mc_cid -> Expected: — (removed) | CONFLICT: MASTER - User Properties tab says NONE; this Fixes Plan (carries Utkarsh decisions) says DELETE - Fixes Plan taken. | Remove from both PostHog and Customer.io once gated. | SDK or vendor plumbing. Not authored by us. No action. | Mailchimp campaign tracking id, auto-captured — noise | red = delete (Utk)
company	Domain	Domain	datalabs	Sign in | open Profile | fill Company Name, Website, Sector, Type | save | inspect identify()	https://inc42.com/profile/	logged-in	company	Domain:string	Yes	none - property removed	web | backend	posthog | customerio	auto	DataLabs PH 34,101 / CIO 69% ; PostHog people: 34,101 ; priority P3 ; Your sheet row 33 ; Live sample values: Inc42 DataLabs' (only value — no signal; note: value uses 'DataLabs' spelling)	single constant value	DELETE	2026-09-07	Current: PostHog: Domain ; Customer.io: Domain ; PH DataLabs: Domain' (27,982) rename→'domain' ; CIO Main: — (not in this workspace) ; CIO DataLabs: Domain' (6,769) rename→'domain' -> Expected: — (removed) | Remove from both PostHog and Customer.io once gated. | Delete | single constant value
