event_group,event_name,display_name,property,trigger_steps,trigger_url,login_state,event_property_groups,custom_event_properties,trigger_identify_call,expected_traits,source,destinations,automatable,test_notes,description,audit_status,audit_date,audit_notes,Where to change it,What exactly to do,Done when
company,Company Type,company_stage,inc42,Sign in on inc42.com | open Profile | fill the field | save | watch the identify call in PostHog Live Events and the profile in Customer.io,https://inc42.com/profile/,logged-in,company,company_stage:string,Yes,company_stage = one of the agreed company stages,web,posthog | customerio,auto,"PostHog 'Company Type' SINCE 1 JAN 2025: 520 people, 11 empty (2% of them empty) [all-time for contrast: 953 people, 14 empty] ; Customer.io 'Company Type': present - not used by any audience group or campaign ; Customer.io 'company_stage': present - not used by any audience group or campaign ; live values in 'Company Type': Early Stage Startups ~ ""Growth Stage Startup"" ~ ""Investors"" ~ ""Indian Corporates"" ~ ""International Company"" ~ ""Late Stage Startups""","Only 953 people out of 10.4 million have a company type, and the values are not from the agreed company-stage list. Some have a leading space or an underscore, which makes the same value count twice.",FIX,2026-09-08,Current: unmapped values with leading spaces and underscores -> Expected: the agreed stage list.,"Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Agree one written list of company stages. Change the form to send only those. Remove leading spaces and underscores in a one-time clean-up. Decide whether Company Type and company_stage are the same thing - if they are, keep one.","Every value is on the agreed list with no leading space, and Customer.io has one company-stage field, not two."
company,Company Website,company_website,inc42,Sign in on inc42.com | open Profile | fill the field | save | watch the identify call in PostHog Live Events and the profile in Customer.io,https://inc42.com/profile/,logged-in,company,company_website:string,Yes,"company_website = a web address, or nothing",web,posthog | customerio,auto,"PostHog 'Company Website' SINCE 1 JAN 2025: ZERO people - the field is not written for anyone who joined in 2025 or 2026 [all-time for contrast: 211 people, 97 empty] ; Customer.io 'Company Website': present - not used by any audience group or campaign ; live values in 'Company Website': dasdas ~ ""NA"" ~ ""https://jooble.org/"" ~ ""Advent Digital"" ~ ""www.mycosiq.com"" ~ ""https://inc42.com/""","Nobody who joined since 1 Jan 2025 has this field at all - it has stopped being written. All 211 people who have it are older, and 46% of those are empty. What is stored is mostly not a website - 'dasdas', 'NA', a company name, and inc42.com itself.",FIX,2026-09-08,Current: company names and junk in a website field -> Expected: web addresses only.,"Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","This field is already dead. Either remove it outright, or - if the company website is genuinely wanted - start collecting it again with a check that the value looks like a web address, and fold 'Brand Website' into it. Do not leave a dead field sitting on the profile.","The field is either gone, or it is being written again for new readers with every value starting with http."
company,Brand Website,company_website,inc42,Open a Customer.io profile that has it,,any,company,company_website:string,Yes,company_website = merged into company_website,customerio,customerio,manual,Customer.io 'Brand Website': present - not used by any audience group or campaign,A second company-website field in Customer.io.,MERGE,2026-09-08,Current: two website fields -> Expected: one.,"Customer.io, Inc42 workspace (208301) > Data index > Profile attributes.","Copy anything held only here into company_website, then remove this field.",Customer.io shows one company-website field.
company,Company LinkedIn URL,company_linkedin_url,inc42,Sign in on inc42.com | open Profile | fill the field | save | watch the identify call in PostHog Live Events and the profile in Customer.io,https://inc42.com/profile/,logged-in,company,company_linkedin_url:string,Yes,company_linkedin_url = the company's LinkedIn page,customerio,customerio,manual,Customer.io 'Company LinkedIn URL': present - not used by any audience group or campaign,Genuinely different from the reader's own LinkedIn profile. Keep it.,KEEP,2026-09-08,Current: correct -> Expected: unchanged.,No change needed.,Nothing.,n/a - no change
profile,LinkedIn Profile URL,linkedin_profile_url,inc42,Sign in on inc42.com | open Profile | fill the field | save | watch the identify call in PostHog Live Events and the profile in Customer.io,https://inc42.com/profile/,logged-in,profile,linkedin_profile_url:string,Yes,linkedin_profile_url = the reader's own LinkedIn address,customerio,customerio,manual,Customer.io 'LinkedIn Profile URL': present - not used by any audience group or campaign,The field to keep for the reader's own LinkedIn. 'LinkedIn URL' duplicates it.,MERGE,2026-09-08,"Current: two fields for the same thing -> Expected: one, linkedin_profile_url.","Customer.io, Inc42 workspace (208301) > Data index > Profile attributes.","Copy anything held only in 'LinkedIn URL' into this field, then remove 'LinkedIn URL'. About one in five values is not a LinkedIn address - empty those in the same clean-up.","Customer.io has two LinkedIn fields, not three, and every value in them contains linkedin.com."
profile,LinkedIn URL,linkedin_profile_url,inc42,Sign in on inc42.com | open Profile | fill the field | save | watch the identify call in PostHog Live Events and the profile in Customer.io,https://inc42.com/profile/,logged-in,profile,linkedin_profile_url:string,Yes,linkedin_profile_url = merged into linkedin_profile_url,customerio,customerio,manual,Customer.io 'LinkedIn URL': present - not used by any audience group or campaign,Duplicates LinkedIn Profile URL.,MERGE,2026-09-08,Current: duplicate field -> Expected: merged and removed.,"Customer.io, Inc42 workspace (208301) > Data index > Profile attributes.","Copy anything held only here into linkedin_profile_url, then remove this field.",The field 'LinkedIn URL' no longer appears in Customer.io.
geo,City,city / state / country - one set only,inc42,Sign in on inc42.com | open Profile | fill the field | save | watch the identify call in PostHog Live Events and the profile in Customer.io,https://inc42.com/profile/,logged-in,geo,city / state / country - one set only:string,Yes,city / state / country - one set only = one agreed source of location,web | customerio,posthog,manual,"PostHog 'City' SINCE 1 JAN 2025: ZERO people - the field is not written for anyone who joined in 2025 or 2026 [all-time for contrast: 41 people, 34 empty] ; live values in 'City': Bangalore ~ ""Trivandrum"" ~ ""Kannur"" ~ ""Ahmedabad"" ~ ""MUMBAI"" ~ ""Kolkata""","Nobody who joined since 1 Jan 2025 has this field in PostHog - it has stopped being written. All 41 people who have it are older and 83% of those are empty, with mixed capitalisation such as MUMBAI and Bangalore. Media has three overlapping records of where a reader is: the stated one in PostHog, the stated one in Customer.io, and Customer.io's automatic location fields.",FIX,2026-09-08,Current: three overlapping location records -> Expected: one agreed source.,"Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Decide whether the reader's stated location or Customer.io's automatic location is the one to trust, and keep only that. Make capitalisation consistent in a one-time clean-up. Do not keep three.","One set of location fields remains, with consistent capitalisation."
geo,city,city / state / country - one set only,inc42,Sign in on inc42.com | open Profile | fill the field | save | watch the identify call in PostHog Live Events and the profile in Customer.io,https://inc42.com/profile/,logged-in,geo,city / state / country - one set only:string,Yes,city / state / country - one set only = one agreed source of location,web | customerio,customerio,manual,Customer.io 'city': present - not used by any audience group or campaign,"Customer.io's own reader-stated city, alongside its automatic location fields. Media has three overlapping records of where a reader is: the stated one in PostHog, the stated one in Customer.io, and Customer.io's automatic location fields.",FIX,2026-09-08,Current: three overlapping location records -> Expected: one agreed source.,"Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Decide whether the reader's stated location or Customer.io's automatic location is the one to trust, and keep only that. Make capitalisation consistent in a one-time clean-up. Do not keep three.","One set of location fields remains, with consistent capitalisation."
geo,state,city / state / country - one set only,inc42,Sign in on inc42.com | open Profile | fill the field | save | watch the identify call in PostHog Live Events and the profile in Customer.io,https://inc42.com/profile/,logged-in,geo,city / state / country - one set only:string,Yes,city / state / country - one set only = one agreed source of location,web | customerio,customerio,manual,Customer.io 'state': present - not used by any audience group or campaign,"Customer.io only. Media has three overlapping records of where a reader is: the stated one in PostHog, the stated one in Customer.io, and Customer.io's automatic location fields.",FIX,2026-09-08,Current: three overlapping location records -> Expected: one agreed source.,"Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Decide whether the reader's stated location or Customer.io's automatic location is the one to trust, and keep only that. Make capitalisation consistent in a one-time clean-up. Do not keep three.","One set of location fields remains, with consistent capitalisation."
geo,country,city / state / country - one set only,inc42,Sign in on inc42.com | open Profile | fill the field | save | watch the identify call in PostHog Live Events and the profile in Customer.io,https://inc42.com/profile/,logged-in,geo,city / state / country - one set only:string,Yes,city / state / country - one set only = one agreed source of location,web | customerio,customerio,manual,Customer.io 'country': present - not used by any audience group or campaign,"Customer.io only. Media has three overlapping records of where a reader is: the stated one in PostHog, the stated one in Customer.io, and Customer.io's automatic location fields.",FIX,2026-09-08,Current: three overlapping location records -> Expected: one agreed source.,"Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Decide whether the reader's stated location or Customer.io's automatic location is the one to trust, and keep only that. Make capitalisation consistent in a one-time clean-up. Do not keep three.","One set of location fields remains, with consistent capitalisation."
registration,Registeration Status  (spelling mistake),registration_status,inc42,Open inc42.com signed out | register a new account | watch the identify call in PostHog Live Events and the new profile in Customer.io,"https://inc42.com/ (sign in, then open Profile)",logged-in,registration,registration_status:string,Yes,"registration_status = the word 'registered', spelt-correctly field only",web,neither,manual,not live,"The field name is misspelt and it is still being written today - 20,010 readers who joined since 1 Jan 2025 have it. Among those recent readers 13,262 have ONLY the misspelt one, so a plain delete still loses people. It holds two different words - 'registered' and 'Yes' - and it never reached Customer.io.",FIX,2026-09-08,"Current: 63,174 people on a misspelt field, values 'registered' and 'Yes' -> Expected: removed, after its content is copied to the correctly spelt field.","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Find the code still writing the misspelt name and change it. Copy the value across for everyone who only has the misspelt one - 13,262 recent readers, 55,407 all-time - turning 'Yes' into 'registered' as you go. Then remove the misspelt field. Use only the word 'registered' from now on.","PostHog has no field called 'Registeration Status', and 'Registration Status' is on about 85,000 people holding only the word 'registered'."
registration,Registration Status,registration_status,inc42,Open inc42.com signed out | register a new account | watch the identify call in PostHog Live Events and the new profile in Customer.io,"https://inc42.com/ (sign in, then open Profile)",logged-in,registration,registration_status:string,Yes,registration_status = the word 'registered',web,posthog | customerio,auto,"PostHog 'Registration Status' SINCE 1 JAN 2025: 28,266 people, 1 empty (0% of them empty) [all-time for contrast: 29,522 people, 1 empty] ; Customer.io 'Registration Status': present - audience groups: Subscribed to Topic 1-6 and Registered ; live values in 'Registration Status': registered ~ ""undefined""","The correctly spelt field and the one to keep. It feeds the audience group 'Subscribed to Topic 1-6 and Registered', so do not rename or remove it.",KEEP,2026-09-08,"Current: correct -> Expected: unchanged, plus about 55,000 people merged in from the misspelt field.",No change to this field itself.,Nothing on this field. See the 'Registeration Status' row.,n/a - no change to this field
registration,Register Source,register_source,inc42,Open inc42.com signed out | register a new account | watch the identify call in PostHog Live Events and the new profile in Customer.io,"https://inc42.com/ (sign in, then open Profile)",logged-in,registration,register_source:string,Yes,"register_source = where the reader signed up, or nothing",web,posthog | customerio,auto,"PostHog 'Register Source' SINCE 1 JAN 2025: 48,451 people, 2,400 empty (5% of them empty) [all-time for contrast: 63,526 people, 2,443 empty] ; Customer.io 'Register Source': present - audience groups: Registered via Inc42 Datalabs | Launch EDM | App | Audience; campaigns: Untitled Automation 28 ; live values in 'Register Source': Inc42 ~ ""Inc42 Datalabs"" ~ ""undefined""","Sound apart from 2,443 people holding the word 'undefined'. It drives four live audience groups and one automation, so it must not be renamed or removed.",FIX,2026-09-08,"Current: 2,443 people hold 'undefined' -> Expected: empty when unknown.","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.",Stop sending the word 'undefined' - leave the field empty instead. Do not rename or remove this field; four live audience groups and one automation read it.,"No value is 'undefined', and the four audience groups still hold the same number of people."
registration,User Creation Date,user_creation_date,inc42,Open inc42.com signed out | register a new account | watch the identify call in PostHog Live Events and the new profile in Customer.io,"https://inc42.com/ (sign in, then open Profile)",logged-in,registration,user_creation_date:datetime,Yes,user_creation_date = the single date the reader joined,web,posthog | customerio,auto,"PostHog 'User Creation Date' SINCE 1 JAN 2025: 28,329 people, 1 empty (0% of them empty) [all-time for contrast: 29,585 people, 1 empty] ; Customer.io 'User Creation Date': present - not used by any audience group or campaign ; live values in 'User Creation Date': 2025-04-06 03:01:58 ~ ""2025-03-28 13:23:18"" ~ ""2025-04-29 16:08:44"" ~ ""2025-04-21 05:16:59"" ~ ""2026-07-06 17:59:03"" ~ ""2025-03-23 06:54:00""","Media records the moment someone joined three times under three names - this one, created_at and Registered_Date - and they do not agree with each other.",MERGE,2026-09-08,Current: three joining-date fields that disagree -> Expected: one.,"Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Keep user_creation_date. Check the three against each other on a handful of readers first, because they do not currently match. Move the campaign 'Untitled Campaign 17' onto the kept field before removing created_at.","One joining-date field remains, no campaign reads a removed one, and ten readers show the same date as their first event."
registration,created_at,user_creation_date,inc42,Open a Customer.io profile and compare with PostHog's first-seen date,,any,registration,user_creation_date:datetime,Yes,user_creation_date = merged into user_creation_date,customerio,customerio,manual,Customer.io 'created_at': present - campaigns: Untitled Campaign 17,"One of three joining-date fields. It is read by the campaign 'Untitled Campaign 17', so move that campaign before removing it.",MERGE,2026-09-08,"Current: duplicate joining date, read by a live campaign -> Expected: merged, campaign moved, field removed.","Customer.io, Inc42 workspace (208301) > Data index > Profile attributes.","Move 'Untitled Campaign 17' onto the kept joining-date field, then remove created_at.",No campaign reads created_at and the field is gone.
registration,Registered_Date,user_creation_date,inc42,Open a Customer.io profile and compare with the other two dates,,any,registration,user_creation_date:datetime,Yes,user_creation_date = merged into user_creation_date,customerio,customerio,manual,Customer.io 'Registered_Date': present - not used by any audience group or campaign,The third joining-date field. Nothing reads it.,MERGE,2026-09-08,Current: duplicate joining date -> Expected: merged and removed.,"Customer.io, Inc42 workspace (208301) > Data index > Profile attributes.","Copy anything held only here into the kept joining-date field, then remove it.",Registered_Date no longer appears in Customer.io.
registration,User Type,user_type,inc42,Open inc42.com signed out | register a new account | watch the identify call in PostHog Live Events and the new profile in Customer.io,"https://inc42.com/ (sign in, then open Profile)",logged-in,registration,user_type:string,Yes,"user_type = Registered, Free, Plus Member or Pro Member",web,posthog | customerio,auto,"PostHog 'User Type' SINCE 1 JAN 2025: 17,502 people, 0 empty (0% of them empty) [all-time for contrast: 17,608 people, 0 empty] ; Customer.io 'User Type': present - campaigns: Inc42 Registered ; live values in 'User Type': Registered ~ ""Pro Member"" ~ ""Free"" ~ ""Plus Member""",Working correctly and read by the live campaign 'Inc42 Registered'. Leave it alone.,KEEP,2026-09-08,Current: correct -> Expected: unchanged.,No change needed.,Nothing.,n/a - no change
registration,User State,(remove),inc42,Open inc42.com signed out | register a new account | watch the identify call in PostHog Live Events and the new profile in Customer.io,"https://inc42.com/ (sign in, then open Profile)",logged-in,registration,(remove):string,Yes,(remove) = removed,web,posthog | customerio,manual,"PostHog 'User State' SINCE 1 JAN 2025: 16,726 people, 0 empty (0% of them empty) [all-time for contrast: 16,782 people, 0 empty] ; Customer.io 'User State': present - not used by any audience group or campaign ; live values in 'User State': Logged In","All 16,782 people hold the same single value, 'Logged In'. A field with one value tells you nothing, and whether someone is signed in is a moment rather than a lasting fact about them.",DELETE,2026-09-08,Current: one value on every person -> Expected: removed.,"Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.",Stop writing it and remove it from both tools.,The field no longer appears in either tool.
registration,Form ID,(remove from the person),inc42,Submit any form on inc42.com and inspect the person in PostHog,https://inc42.com/,any,registration,(remove from the person):string,Yes,(remove from the person) = kept on the form-submitted event instead,web,posthog,manual,"PostHog 'Form ID' SINCE 1 JAN 2025: 122 people, 0 empty (0% of them empty) [all-time for contrast: 16,176 people, 0 empty] ; live values in 'Form ID': 88 ~ ""1"" ~ ""83"" ~ ""85"" ~ ""25"" ~ ""86""","A form's number is saved onto the person, so each person carries only the last form they touched and every earlier one is lost. It has nearly stopped: only 122 readers who joined since 1 Jan 2025 have it, against 16,176 all-time.",DELETE,2026-09-08,"Current: a dying field, 122 recent readers -> Expected: removed from the person; the number kept on the event, where every submission survives.","PostHog, Inc42 | Live project (53557) > People. And the Inc42 Media website form code.",Keep the form number on the form-submitted event. Stop saving it onto the person and remove it from the people list.,"Form ID no longer appears in the people list, and form submissions are still countable per form on the events side."
newsletter,"cio_subscription_preferences (plus cio_subscription_preferences.topics.topic_1, topic_2, topic_3, topic_4, topic_5, topic_6)",cio_subscription_preferences,inc42,Open inc42.com | subscribe to a newsletter | check the profile's subscription preferences in Customer.io,https://inc42.com/,any,newsletter,cio_subscription_preferences:object,Yes,cio_subscription_preferences = the single record of who is subscribed to what,customerio,neither,manual,not live,"Customer.io's own subscription centre. This is what actually decides who receives which newsletter - it is behind the Daily Brief, Weekly Brief, The Checkout, AI Shift and LinkedIn Newsletter audience groups. Treat it as the single record.",KEEP,2026-09-08,"Current: correct and load-bearing -> Expected: unchanged, and made the single record.",No change needed.,Nothing. Do not replace this with per-newsletter fields.,n/a - no change
newsletter,Daily_Newsletter_Status,(remove),inc42,Open inc42.com | subscribe to a newsletter | check the profile's subscription preferences in Customer.io,https://inc42.com/,any,newsletter,(remove):string,Yes,(remove) = removed in favour of the subscription centre,web,posthog,manual,"PostHog 'Daily_Newsletter_Status' SINCE 1 JAN 2025: 332 people, 0 empty (0% of them empty) [all-time for contrast: 2,300 people, 0 empty] ; live values in 'Daily_Newsletter_Status': Yes","A competing record of who is subscribed. It is still being written - 332 readers who joined since 1 Jan 2025 have it - but at that size against the subscription centre, which drives every live newsletter send, it is noise.",DELETE,2026-09-08,"Current: a second, nearly empty subscription record -> Expected: removed; the subscription centre is the only one.","Customer.io, Inc42 workspace (208301) > Data index > Profile attributes. And the Inc42 Media website code that records a newsletter sign-up.","Stop writing this field and remove it. Do not build the 12 separate per-newsletter status fields listed in your Unified sheet - if a newsletter needs its own record, add it as a topic in the subscription centre instead.","Every newsletter audience group is built from the subscription centre, and no send reads a per-newsletter status field."
newsletter,Newsletter Subscribed,(remove),inc42,Open inc42.com | subscribe to a newsletter | check the profile's subscription preferences in Customer.io,https://inc42.com/,any,newsletter,(remove):string,Yes,(remove) = removed in favour of the subscription centre,web,posthog,manual,"PostHog 'Newsletter Subscribed' SINCE 1 JAN 2025: ZERO people - the field is not written for anyone who joined in 2025 or 2026 [all-time for contrast: 1,727 people, 0 empty] ; live values in 'Newsletter Subscribed': Yes","The same competing record. It is already dead - nobody who joined since 1 Jan 2025 has it. All 1,727 people who do are older. Values are the single word 'Yes'.",DELETE,2026-09-08,"Current: dead since 2025, 1,727 older people holding 'Yes' -> Expected: removed.","Customer.io, Inc42 workspace (208301) > Data index > Profile attributes. And the Inc42 Media website newsletter sign-up code.",Stop writing this field and remove it. Use the subscription centre instead.,The field no longer appears in either tool and newsletter sends are unaffected.
newsletter,LinkedIn Newsletter Subscribed,linkedin_newsletter_subscribed,inc42,Open inc42.com | subscribe to a newsletter | check the profile's subscription preferences in Customer.io,https://inc42.com/,any,newsletter,linkedin_newsletter_subscribed:string,Yes,linkedin_newsletter_subscribed = unchanged,customerio,customerio,manual,Customer.io 'LinkedIn Newsletter Subscribed': present - not used by any audience group or campaign,The LinkedIn newsletter opt-in record. Working - leave it.,KEEP,2026-09-08,Current: correct -> Expected: unchanged.,No change needed.,Nothing.,n/a - no change
newsletter,Newsletter Source,newsletter_source,inc42,Open inc42.com | subscribe to a newsletter | check the profile's subscription preferences in Customer.io,https://inc42.com/,any,newsletter,newsletter_source:string,Yes,newsletter_source = unchanged,customerio,customerio,manual,Customer.io 'Newsletter Source': present - not used by any audience group or campaign,Records where a newsletter sign-up came from. Working - leave it.,KEEP,2026-09-08,Current: correct -> Expected: unchanged.,No change needed.,Nothing.,n/a - no change
newsletter,unsubscribed,unsubscribed,inc42,Open inc42.com | subscribe to a newsletter | check the profile's subscription preferences in Customer.io,https://inc42.com/,any,newsletter,unsubscribed:string,Yes,unsubscribed = unchanged,customerio,customerio,manual,Customer.io 'unsubscribed': present - audience groups: Unsubscribed | Daily Brief Email Newsletter | The Checkout Subscribers Email Newsletter | Daily Brief - LinkedIn Newsletter - Auto | The Checkout | Linkedin Newsletter | Auto | AI Shift Email Newsletter | Subscribed to Topic 1-6 and Registered; campaigns: D2C Retreat 2026 | WA 2 | Inc42 DB | 24th Aug 2026,Customer.io's own opt-out record. It feeds 8 audience groups and 1 campaign. Load-bearing - do not touch it.,KEEP,2026-09-08,Current: correct -> Expected: unchanged.,No change needed.,Nothing.,n/a - no change
newsletter,Whatsapp_Optin,whatsapp_optin,inc42,Open inc42.com | subscribe to a newsletter | check the profile's subscription preferences in Customer.io,https://inc42.com/,any,newsletter,whatsapp_optin:string,Yes,whatsapp_optin = unchanged,customerio,customerio,manual,Customer.io 'Whatsapp_Optin': present - not used by any audience group or campaign,"The WhatsApp opt-in record. Working, but the name should be tidied to whatsapp_opt_in when other renames happen.",KEEP,2026-09-08,Current: correct -> Expected: unchanged.,No change needed.,Nothing.,n/a - no change
newsletter,Lead Type,lead_type,inc42,Open inc42.com | subscribe to a newsletter | check the profile's subscription preferences in Customer.io,https://inc42.com/,any,newsletter,lead_type:string,Yes,lead_type = unchanged,customerio,customerio,manual,Customer.io 'Lead Type': present - audience groups: LinkedIn Leads,Feeds the audience group 'LinkedIn Leads'. Working - leave it.,KEEP,2026-09-08,Current: correct -> Expected: unchanged.,No change needed.,Nothing.,n/a - no change
membership,Plus Next Payment Date,plus_next_payment_date,inc42,Sign in | buy or renew a Plus or Pro membership in a test account | watch the profile update in PostHog and Customer.io,https://inc42.com/plus/,logged-in,membership,plus_next_payment_date:datetime,Yes,"plus_next_payment_date = a readable date, the same as every other Plus date",backend,posthog | customerio,auto,"PostHog 'Plus Next Payment Date' SINCE 1 JAN 2025: 409 people, 222 empty (54% of them empty) [all-time for contrast: 463 people, 268 empty] ; Customer.io 'Plus Next Payment Date': present - not used by any audience group or campaign ; live values in 'Plus Next Payment Date': 1821150009 ~ ""1791825947"" ~ ""1783220753"" ~ ""1791736318"" ~ ""1789977904"" ~ ""1774768448""",The dates are stored as raw counter numbers such as 1821150009 while every other Plus date on Media is stored as a readable date such as 2023-07-06. 58% of the people who have this field have nothing in it.,FIX,2026-09-08,Current: counter numbers mixed with nothing -> Expected: readable year-month-day dates.,"Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.",Store this the same way as the other Plus dates - year-month-day. Convert the counter numbers already stored in a one-time clean-up. Do not leave both formats in the field.,Every value reads as a date and none is a bare number.
membership,Plus Subscription ID,plus_subscription_id,inc42,Sign in | buy or renew a Plus or Pro membership in a test account | watch the profile update in PostHog and Customer.io,https://inc42.com/plus/,logged-in,membership,plus_subscription_id:string,Yes,"plus_subscription_id = one kind of ID, stored one way",backend,posthog | customerio,auto,"PostHog 'Plus Subscription ID' SINCE 1 JAN 2025: 342 people, 0 empty (0% of them empty) [all-time for contrast: 774 people, 0 empty] ; Customer.io 'Plus Subscription ID': present - not used by any audience group or campaign ; Customer.io 'Plus_Subscription_ID': present - not used by any audience group or campaign ; live values in 'Plus Subscription ID': RCTB3O3QY44S ~ ""RC93YZCUPXO2"" ~ ""476604"" ~ ""455929"" ~ ""RCQRMZZIPQIT"" ~ ""RCM2C1P3HNMK""",The same field holds two completely different kinds of ID at once - letter codes such as RCTB3O3QY44S and plain numbers such as 476604. Customer.io also carries a second copy of the field name with underscores in it.,FIX,2026-09-08,"Current: two ID systems in one field, plus an underscore copy of the name -> Expected: one ID system, one field.","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.",Decide which of the two ID systems is the real one and store only that. Keep the other in its own field if it is still needed. Remove the underscore copy of the name from Customer.io after copying anything that only exists there.,"Every value is the same shape, and Customer.io has one field for it, not two."
membership,Plus_Subscription_ID,plus_subscription_id,inc42,Open a Customer.io profile with a Plus membership,,logged-in,membership,plus_subscription_id:string,Yes,plus_subscription_id = removed after merging,customerio,customerio,manual,Customer.io 'Plus_Subscription_ID': present - not used by any audience group or campaign,An underscore copy of the Plus Subscription ID field name in Customer.io.,DELETE,2026-09-08,Current: duplicate field name -> Expected: removed.,"Customer.io, Inc42 workspace (208301) > Data index > Profile attributes.","Copy anything held only here into the kept field, then remove this one.",Customer.io shows one Plus subscription ID field.
membership,Plus Term ID,plus_term_id,inc42,Sign in | buy or renew a Plus or Pro membership in a test account | watch the profile update in PostHog and Customer.io,https://inc42.com/plus/,logged-in,membership,plus_term_id:string,Yes,"plus_term_id = one kind of ID, stored one way",backend,posthog | customerio,auto,"PostHog 'Plus Term ID' SINCE 1 JAN 2025: 343 people, 0 empty (0% of them empty) [all-time for contrast: 778 people, 0 empty] ; Customer.io 'Plus Term ID': present - not used by any audience group or campaign ; live values in 'Plus Term ID': TMN213QZEKYU ~ ""296958"" ~ ""TM5SCI7NCG1B"" ~ ""296961"" ~ ""384425"" ~ ""296962""",The same mix as Plus Subscription ID - letter codes such as TMN213QZEKYU alongside plain numbers such as 296958.,FIX,2026-09-08,Current: two ID systems in one field -> Expected: one.,"Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.",Decide which ID system is the real one and store only that.,Every value is the same shape.
membership,Plus Membership Start Date,plus_membership_start_date,inc42,Sign in | buy or renew a Plus or Pro membership in a test account | watch the profile update in PostHog and Customer.io,https://inc42.com/plus/,logged-in,membership,plus_membership_start_date:string,Yes,plus_membership_start_date = unchanged,backend,posthog | customerio,auto,"PostHog 'Plus Membership Start Date' SINCE 1 JAN 2025: 425 people, 0 empty (0% of them empty) [all-time for contrast: 719 people, 0 empty] ; Customer.io 'Plus Membership Start Date': present - not used by any audience group or campaign ; live values in 'Plus Membership Start Date': 2022-04-25T00:00:00 ~ ""2022-04-24T00:00:00"" ~ ""2022-04-21T00:00:00"" ~ ""2024-05-02T00:00:00"" ~ ""2024-05-07T00:00:00"" ~ ""2024-09-05T00:00:00""","719 people, all readable dates. Working.",KEEP,2026-09-08,Current: correct -> Expected: unchanged.,No change needed.,Nothing.,n/a - no change
membership,Plus Membership Expiry Date,plus_membership_expiry_date,inc42,Sign in | buy or renew a Plus or Pro membership in a test account | watch the profile update in PostHog and Customer.io,https://inc42.com/plus/,logged-in,membership,plus_membership_expiry_date:string,Yes,plus_membership_expiry_date = unchanged,backend,posthog | customerio,auto,"PostHog 'Plus Membership Expiry Date' SINCE 1 JAN 2025: 339 people, 0 empty (0% of them empty) [all-time for contrast: 768 people, 0 empty] ; Customer.io 'Plus Membership Expiry Date': present - not used by any audience group or campaign ; live values in 'Plus Membership Expiry Date': 2023-07-06T00:00:00 ~ ""2022-06-29T00:00:00"" ~ ""2022-07-15T00:00:00"" ~ ""2022-07-07T00:00:00"" ~ ""2022-06-18T00:00:00"" ~ ""2023-06-28T00:00:00""","768 people, all readable dates. Working.",KEEP,2026-09-08,Current: correct -> Expected: unchanged.,No change needed.,Nothing.,n/a - no change
membership,Plus Membership Type,plus_membership_type,inc42,Sign in | buy or renew a Plus or Pro membership in a test account | watch the profile update in PostHog and Customer.io,https://inc42.com/plus/,logged-in,membership,plus_membership_type:string,Yes,plus_membership_type = unchanged,backend,posthog | customerio,auto,"PostHog 'Plus Membership Type' SINCE 1 JAN 2025: 259 people, 0 empty (0% of them empty) [all-time for contrast: 269 people, 0 empty] ; Customer.io 'Plus Membership Type': present - not used by any audience group or campaign ; live values in 'Plus Membership Type': Inc42 Plus - Annual Membership ~ ""Inc42 Plus - 3 Year Membership"" ~ ""Inc42 Plus - 2 Year Membership"" ~ ""Inc42 Plus - Annual Memberships""","269 people. Values name the term - Annual, 2 Year, 3 Year. Working.",KEEP,2026-09-08,Current: correct -> Expected: unchanged.,No change needed.,Nothing.,n/a - no change
