property,source,needs_sync?,action,event_vs_user,data_comments,marketing_cio,marketing_posthog,final_field,final_fix
Whatsapp_Optin,CIO-Media,→ push to CIO (Low — system/identity field),FIX,USER ✓,Rename → whatsapp_opt_in — same canonical slug as DL grid,present,not in PostHog,whatsapp_opt_in,"1. Standardise — Rename 'Whatsapp_Optin' → whatsapp_opt_in
2. Merge/delete — —
3. Fill check — —"
unsubscribed,CIO-Media,—,KEEP,USER ✓,"Customer.io's own opt-out record — load-bearing, do not touch",drives 8 segments and 1 campaign,not in PostHog,is_globally_unsubscribed,"1. Standardise — Keep; map to is_globally_unsubscribed in the warehouse rather than renaming in Customer.io
2. Merge/delete — ⚠ Do not rename in place — 8 segments read it
3. Fill check — OK"
Lead Type,CIO-Media,—,KEEP,USER ✓,Feeds the segment 'LinkedIn Leads',"present, 1 segment",not in PostHog,lead_type,"1. Standardise — Rename → lead_type
2. Merge/delete — Move the segment before renaming
3. Fill check — —"
Event Type,CIO-Media,—,KEEP,EVENT-shaped ⚠ — a meeting/summit is an occurrence → event,Kept only because a live segment reads it,feeds the segment 'DRS 2026 | Paid Applications Final',not in PostHog,event_type,"1. Standardise — Rename → event_type
2. Merge/delete — Long term this belongs on the event; rebuild the DRS segment first
3. Fill check — —"
Event_Type / Event_type,CIO-Media,—,DELETE,USER ✓,Two unused punctuation twins of 'Event Type',"present, neither used by a segment or campaign",not in PostHog,—,"1. Standardise — Do not rename
2. Merge/delete — Confirm they hold nothing 'Event Type' does not, then delete both
3. Fill check — n/a"
DRS Payment / DRS Payment Url,CIO-Media,—,DELETE,EVENT-shaped ⚠ — a payment is an occurrence → event,⚠ Cannot be deleted yet — 5 live DRS 2026 campaigns read them,feeds 5 DRS 2026 campaigns,not in PostHog,—,"1. Standardise — Do not rename
2. Merge/delete — Move the 5 DRS campaigns onto event data first, THEN delete. Do not delete while they run
3. Fill check — n/a"
order_id / product_name / Quantity / payment_URL,CIO-Media,—,DELETE,Event property ⚠ — all four are the context of one purchase,Same class as the DL grid's deleted order fields,"present, none used by a segment or campaign",not in PostHog,—,"1. Standardise — Do not rename — retire
2. Merge/delete — Keep on the purchase event, where every purchase survives; today the person keeps only the most recent
3. Fill check — n/a"
Form ID,PostHog-Media,—,DELETE,EVENT-shaped ⚠ — a submission is an occurrence → event,Nearly stopped being written,not in CIO,"122 since 2025 (16,176 all-time)",—,"1. Standardise — Do not rename — retire
2. Merge/delete — Keep the form number on the submission event
3. Fill check — n/a — dying field"
ph_keyword,PostHog-Media,—,DELETE,EVENT-shaped ⚠ — a search is an occurrence → event,Holds reader-typed search text on the person,not in CIO,3 since 2025,—,"1. Standardise — Do not rename — retire
2. Merge/delete — Keep search terms on the search event
3. Fill check — n/a"
engagement_score,CIO-Media,→ push to CIO (High — marketing segments/messages on it); govern via warehouse,ADD,USER ✓,"Customer.io-only enrichment layer — in no specification, not in PostHog, no owner recorded.","present, no description, not used by any segment or campaign",⚠ absent from PostHog entirely,engagement_score,"1. Standardise — Record what it means and who loads it — none of the 16 has a description
2. Merge/delete — Decide whether it belongs in PostHog too, and add it to the unified schema
3. Fill check — Unknown — refresh date is not recorded anywhere"
engagement_tier,CIO-Media,→ push to CIO (High — marketing segments/messages on it); govern via warehouse,ADD,USER ✓,"Customer.io-only enrichment layer — in no specification, not in PostHog, no owner recorded.","present, no description, not used by any segment or campaign",⚠ absent from PostHog entirely,engagement_tier,"1. Standardise — Record what it means and who loads it — none of the 16 has a description
2. Merge/delete — Decide whether it belongs in PostHog too, and add it to the unified schema
3. Fill check — Unknown — refresh date is not recorded anywhere"
paid_score,CIO-Media,→ push to CIO (High — marketing segments/messages on it); govern via warehouse,ADD,USER ✓,"Customer.io-only enrichment layer — in no specification, not in PostHog, no owner recorded.","present, no description, not used by any segment or campaign",⚠ absent from PostHog entirely,paid_score,"1. Standardise — Record what it means and who loads it — none of the 16 has a description
2. Merge/delete — Decide whether it belongs in PostHog too, and add it to the unified schema
3. Fill check — Unknown — refresh date is not recorded anywhere"
nonpaid_score,CIO-Media,→ push to CIO (High — marketing segments/messages on it); govern via warehouse,ADD,USER ✓,"Customer.io-only enrichment layer — in no specification, not in PostHog, no owner recorded.","present, no description, not used by any segment or campaign",⚠ absent from PostHog entirely,nonpaid_score,"1. Standardise — Record what it means and who loads it — none of the 16 has a description
2. Merge/delete — Decide whether it belongs in PostHog too, and add it to the unified schema
3. Fill check — Unknown — refresh date is not recorded anywhere"
crm_reach_tier,CIO-Media,→ push to CIO (High — marketing segments/messages on it); govern via warehouse,ADD,USER ✓,"Customer.io-only enrichment layer — in no specification, not in PostHog, no owner recorded.","present, no description, not used by any segment or campaign",⚠ absent from PostHog entirely,crm_reach_tier,"1. Standardise — Record what it means and who loads it — none of the 16 has a description
2. Merge/delete — Decide whether it belongs in PostHog too, and add it to the unified schema
3. Fill check — Unknown — refresh date is not recorded anywhere"
is_investor,CIO-Media,→ push to CIO (High — marketing segments/messages on it); govern via warehouse,ADD,USER ✓,"Customer.io-only enrichment layer — in no specification, not in PostHog, no owner recorded.","present, no description, not used by any segment or campaign",⚠ absent from PostHog entirely,is_investor,"1. Standardise — Record what it means and who loads it — none of the 16 has a description
2. Merge/delete — Decide whether it belongs in PostHog too, and add it to the unified schema
3. Fill check — Unknown — refresh date is not recorded anywhere"
net_ltv_inr,CIO-Media,→ push to CIO (High — marketing segments/messages on it); govern via warehouse,ADD,USER ✓,"Customer.io-only enrichment layer — in no specification, not in PostHog, no owner recorded.","present, no description, not used by any segment or campaign",⚠ absent from PostHog entirely,net_ltv_inr,"1. Standardise — Record what it means and who loads it — none of the 16 has a description
2. Merge/delete — Decide whether it belongs in PostHog too, and add it to the unified schema
3. Fill check — Unknown — refresh date is not recorded anywhere"
membership_orders_count,CIO-Media,→ push to CIO (High — marketing segments/messages on it); govern via warehouse,ADD,USER ✓,"Customer.io-only enrichment layer — in no specification, not in PostHog, no owner recorded.","present, no description, not used by any segment or campaign",⚠ absent from PostHog entirely,membership_orders_count,"1. Standardise — Record what it means and who loads it — none of the 16 has a description
2. Merge/delete — Decide whether it belongs in PostHog too, and add it to the unified schema
3. Fill check — Unknown — refresh date is not recorded anywhere"
paid_events_count,CIO-Media,→ push to CIO (High — marketing segments/messages on it); govern via warehouse,ADD,USER ✓,"Customer.io-only enrichment layer — in no specification, not in PostHog, no owner recorded.","present, no description, not used by any segment or campaign",⚠ absent from PostHog entirely,paid_events_count,"1. Standardise — Record what it means and who loads it — none of the 16 has a description
2. Merge/delete — Decide whether it belongs in PostHog too, and add it to the unified schema
3. Fill check — Unknown — refresh date is not recorded anywhere"
company_employees,CIO-Media,→ push to CIO (High — marketing segments/messages on it); govern via warehouse,ADD,USER ✓,"Customer.io-only enrichment layer — in no specification, not in PostHog, no owner recorded.","present, no description, not used by any segment or campaign",⚠ absent from PostHog entirely,company_employees,"1. Standardise — Record what it means and who loads it — none of the 16 has a description
2. Merge/delete — Decide whether it belongs in PostHog too, and add it to the unified schema
3. Fill check — Unknown — refresh date is not recorded anywhere"
company_founded_year,CIO-Media,→ push to CIO (High — marketing segments/messages on it); govern via warehouse,ADD,USER ✓,"Customer.io-only enrichment layer — in no specification, not in PostHog, no owner recorded.","present, no description, not used by any segment or campaign",⚠ absent from PostHog entirely,company_founded_year,"1. Standardise — Record what it means and who loads it — none of the 16 has a description
2. Merge/delete — Decide whether it belongs in PostHog too, and add it to the unified schema
3. Fill check — Unknown — refresh date is not recorded anywhere"
company_funding_usd,CIO-Media,→ push to CIO (High — marketing segments/messages on it); govern via warehouse,ADD,USER ✓,"Customer.io-only enrichment layer — in no specification, not in PostHog, no owner recorded.","present, no description, not used by any segment or campaign",⚠ absent from PostHog entirely,company_funding_usd,"1. Standardise — Record what it means and who loads it — none of the 16 has a description
2. Merge/delete — Decide whether it belongs in PostHog too, and add it to the unified schema
3. Fill check — Unknown — refresh date is not recorded anywhere"
company_revenue_fy,CIO-Media,→ push to CIO (High — marketing segments/messages on it); govern via warehouse,ADD,USER ✓,"Customer.io-only enrichment layer — in no specification, not in PostHog, no owner recorded.","present, no description, not used by any segment or campaign",⚠ absent from PostHog entirely,company_revenue_fy,"1. Standardise — Record what it means and who loads it — none of the 16 has a description
2. Merge/delete — Decide whether it belongs in PostHog too, and add it to the unified schema
3. Fill check — Unknown — refresh date is not recorded anywhere"
company_revenue_inr,CIO-Media,→ push to CIO (High — marketing segments/messages on it); govern via warehouse,ADD,USER ✓,"Customer.io-only enrichment layer — in no specification, not in PostHog, no owner recorded.","present, no description, not used by any segment or campaign",⚠ absent from PostHog entirely,company_revenue_inr,"1. Standardise — Record what it means and who loads it — none of the 16 has a description
2. Merge/delete — Decide whether it belongs in PostHog too, and add it to the unified schema
3. Fill check — Unknown — refresh date is not recorded anywhere"
company_stage,CIO-Media,→ push to CIO (High — marketing segments/messages on it); govern via warehouse,ADD,USER ✓,"Customer.io-only enrichment layer — in no specification, not in PostHog, no owner recorded.","present, no description, not used by any segment or campaign",⚠ absent from PostHog entirely,company_stage,"1. Standardise — Record what it means and who loads it — none of the 16 has a description
2. Merge/delete — Decide whether it belongs in PostHog too, and add it to the unified schema
3. Fill check — Unknown — refresh date is not recorded anywhere"
FY25 Revenue,CIO-Media,→ push to CIO (High — marketing segments/messages on it); govern via warehouse,ADD,USER ✓,"Customer.io-only enrichment layer — in no specification, not in PostHog, no owner recorded. ⚠ Duplicates company_revenue_fy — keep one.","present, no description, not used by any segment or campaign",⚠ absent from PostHog entirely,FY25 Revenue,"1. Standardise — Record what it means and who loads it — none of the 16 has a description
2. Merge/delete — Decide whether it belongs in PostHog too, and add it to the unified schema
3. Fill check — Unknown — refresh date is not recorded anywhere"
(all 119 Customer.io Media attributes) — privacy marking,CIO-Media,—,FIX,USER ✓,Not a field but a property-wide defect that blocks the DPDP work,"⚠ 119 of 119 are privacy level 0 with a blank description — including every email, phone, name and LinkedIn field",n/a,—,"1. Standardise — Mark every field holding a name, email, phone, LinkedIn address or personal id as personal data
2. Merge/delete — Write a one-line description on all 119
3. Fill check — FAIL — 0 of 119 marked or described"
"The 16 one-person lowercase twins (work_email, seniority, first_name, company_name, personal_email, last_name, register_source, uid, registration_status, user_creation_date, phone_number, designation, full_name, name, plan, credits)",PostHog-Media,—,DELETE,USER ✓,Test-account leftovers that make it look as though Media already writes the agreed slugs,not in CIO,1 person each,—,"1. Standardise — Do not rename
2. Merge/delete — Delete — and do not read them as evidence that the rename is already done
3. Fill check — n/a"
is_staff / is_superuser,PostHog-Media,—,DELETE,USER ✓,"Internal back-end flags, not reader traits",not in CIO,3 and 1 people,—,"1. Standardise — Do not rename — retire
2. Merge/delete — Delete
3. Fill check — n/a"
"The 19 advertising click ids (fbclid, gclid, li_fat_id, twclid, wbraid, msclkid, igshid, mc_cid, gad_source, ttclid, gbraid, rdt_cid, _kx, dclid, gclsrc, irclid, epik, sccid, qclid)",PostHog-Media,—,DELETE,"EVENT-shaped ⚠ — a click id belongs to one click, not to a person",Still being written today,not in CIO,"~41,315 people EACH since 2025; 12 of the 19 are 100% empty on every person",—,"1. Standardise — Stop copying the web address onto the person
2. Merge/delete — Delete the 12 that are entirely empty first — nothing is lost — then the rest
3. Fill check — FAIL — 12 of 19 are 100% empty"
utm_source / utm_medium / utm_campaign / utm_content / utm_term,PostHog-Media,—,KEEP,USER ✓,Campaign tagging that reporting genuinely reads — unlike the click ids,not in CIO,"103,075-154,372 people each since 2025, 29% to 99% empty",utm_*,"1. Standardise — Keep
2. Merge/delete — —
3. Fill check — Weak fill, but in use"
"cio_id, cio_city, cio_country, cio_region, cio_postal_code, cio_continent, cio_iso_*, cio_latitude, cio_longitude, cio_timezone, cio_location_source, _created_in_customerio_at",CIO-Media,—,KEEP,USER ✓,Customer.io's own plumbing — not written by Inc42,auto-written; cio_id feeds the 'All Users' segment,not in PostHog,cio_*,"1. Standardise — No rename
2. Merge/delete — —
3. Fill check — n/a — vendor fields"
"(the 97 PostHog $-prefixed fields: $browser, $current_url, $geoip_*, $initial_*)",PostHog-Media,—,KEEP,USER ✓,PostHog's own autocapture — not written by Inc42,not in CIO,97 fields,$*,"1. Standardise — No rename
2. Merge/delete — —
3. Fill check — n/a — vendor fields"
