slug,exists,employees,emp_3m_change,last_funding_amount,total_funding_str,total_revenue,revenue_yoy,revenue_year,traffic_1m_change,investors_n,last_funding_stage,pnl,err
pharmeasy,True,3977,0.38,1961691725,1961691725,6509230000,527.15,₹650.9 Cr+ (FY25),-6.05,56,Late Stage,true,
phitku,True,16,14.29,205084,205084,,,,-4.47,2,Early Stage,false,
phonepe,True,20233,2.45,2890366397,2890366397,72394300000,28.45,"₹7,239.4 Cr+ (FY25)",-4,7,,true,
physicswallah,True,34848,4.57,486360992,486360992,34958900000,,"₹3,495.9 Cr+ (FY26)",-4.79,14,Growth Stage,true,
pine-labs,True,6242,3.17,1789880178,1789880178,20983800000,23.79,"₹2,098.4 Cr+ (FY26)",3.15,35,Early Stage,true,
pinegap,False,,,,,,,,,,,,
piper-serica-angel-fund,True,22,4.76,,,,,,,0,,false,
pixxel,True,387,4.59,97980000,97980000,392973000,28.42,₹39.3 Cr+ (FY25),-7.35,27,Growth Stage,true,
playblue,False,,,,,,,,,,,,
plazza,True,98,13.95,16400000,16400000,,,,2.13,9,Growth Stage,false,
pocket-fm,True,4281,3.66,851000000,851000000,5851830000,123.29,₹585.2 Cr+ (FY25),8.79,11,Late Stage,true,
policybazaar,True,14619,7.33,942000000,942000000,4217100000,2.37,₹421.7 Cr+ (FY26),0.11,21,Late Stage,true,
porter,True,4384,0.9,332070087,332070087,43390300000,55.88,"₹4,339.0 Cr+ (FY25)",-2.02,10,Late Stage,true,
practo,True,1685,-0.18,228846376,228846376,1519610000,9.73,₹152.0 Cr+ (FY24),4.88,13,Late Stage,true,
pramaana-labs,True,33,26.92,27000000,27000000,,,,,6,Early Stage,false,
pratilipi,True,775,0.91,101682900,101682900,826480000,41.13,₹82.6 Cr+ (FY25),-19.95,23,Late Stage,true,
prism,False,,,,,,,,,,,,
profound,False,,,,,,,,,,,,
promom,False,,,,,,,,,,,,
purple-style-labs,True,397,-0.75,95370432,95370432,1084870000,,₹108.5 Cr+ (FY25),21.2,51,Late Stage,true,
qosmic,True,15,-6.25,3300000,3300000,,,,,5,Early Stage,false,
quick-clean,True,219,10.05,20000000,20000000,450932000,10.08,₹45.1 Cr+ (FY25),1343.66,5,Growth Stage,true,
raana-semiconductors,True,26,,3000000,3000000,39623000,64.83,₹4.0 Cr+ (FY25),,6,Early Stage,true,
raghu-vamsi-aerospace-group,False,,,,,,,,,,,,
raise-financial-services,False,,,,,,,,,,,,
raphe-mphibr,True,591,10.06,100000000,100000000,2675710000,210.68,₹267.6 Cr+ (FY25),-45.89,3,,true,
rapido,True,5783,3.84,1526329418,1526329418,9792220000,40.84,₹979.2 Cr+ (FY25),2.57,33,Late Stage,true,
rategain,True,1034,0.98,236739077,236739077,2932000000,4.77,₹293.2 Cr+ (FY26),-1.51,17,,true,
razorpay,True,4037,-0.37,816620000,816620000,1872970000,,₹187.3 Cr+ (FY25),1.9,37,Late Stage,true,
recykal,True,481,-4.56,60187387,60187387,9778650000,37.03,₹977.9 Cr+ (FY25),-28.13,11,Growth Stage,true,
redcliffe-labs,True,2045,4.18,115000000,115000000,3785280000,12.23,₹378.5 Cr+ (FY25),-2.87,19,Late Stage,true,
rekise-marine,True,58,3.57,9700000,9700000,50350900,81.78,₹5.0 Cr+ (FY25),18.37,7,Early Stage,true,
reliance-consumer-products,True,1927,20.14,,,,,,51.8,0,,false,
reliance-industries,False,,,,,,,,,,,,
reliance-jio,False,,,,,,,,,,,,
reliance-retail,True,73890,0.66,,,,,,,0,,false,
rentomo,True,1,,100000,100000,,,,,1,Early Stage,true,
rentomojo,True,914,3.86,85768214,85768214,2719600000,38.88,₹272.0 Cr+ (FY25),26.97,21,Late Stage,true,
reo-dev,True,92,19.48,17500000,17500000,,,,10.84,18,Growth Stage,false,
reo.dev,error,,,,,,,,,,,,HTTP Error 308: Permanent Redirect
revspot,True,58,26.09,4800000,4800000,,,,94.32,5,Growth Stage,false,
ringg,True,45,28.57,15500000,15500000,9050000,,₹90.5 Lakh+ (FY25),1.06,7,Growth Stage,true,
river,True,1130,4.34,188000000,188000000,1037650000,1795.08,₹103.8 Cr+ (FY25),-24.9,20,Late Stage,true,
rivvun-ai,True,15,36.36,7500000,7500000,,,,,2,Early Stage,false,
rocket,True,145,5.07,15000000,15000000,,,,16.91,3,Early Stage,false,
rusk-media,True,300,2.04,40476682,40476682,815305000,42.86,₹81.5 Cr+ (FY25),-2.78,14,Growth Stage,true,
saffronstays,True,251,,5500000,5500000,931682000,62.96,₹93.2 Cr+ (FY25),-2.79,2,Late Stage,true,
sanlayan,True,87,14.47,26100000,26100000,46102000,,₹4.6 Cr+ (FY25),8.26,7,Growth Stage,true,
sarvam-ai,True,425,20.06,275000000,275000000,291260000,162.18,₹29.1 Cr+ (FY25),-13.66,6,Growth Stage,true,
satvacart,True,12,,2193847,2193847,14400000,77.78,₹1.4 Cr+ (FY23),6.95,9,Early Stage,true,
scapia,True,309,6.92,134817997,134817997,404207000,67.37,₹40.4 Cr+ (FY25),-23.62,7,Growth Stage,true,
scrubsy,False,,,,,,,,,,,,
sedemac,True,1224,7.18,107500000,107500000,6625360000,23.84,₹662.5 Cr+ (FY25),-13.48,7,,true,
shadowfax,True,10111,5.54,219793248,219793248,41169600000,,"₹4,117.0 Cr+ (FY26)",-8.46,21,Late Stage,true,
sharechat,True,1714,0.29,1256727018,1256727018,7480400000,18.95,₹748.0 Cr+ (FY24),3.47,25,Late Stage,true,
shiprocket,True,1936,2.98,426156024,426156024,16554800000,24.92,"₹1,655.5 Cr+ (FY25)",,38,Late Stage,true,
shipway-technology,True,190,2.15,2449131,2449131,433500000,298.07,₹43.4 Cr+ (FY24),-6.87,1,,true,
shopatplaces,True,3,,,0,,,,,1,Early Stage,false,
sify-infinit-spaces,False,,,,,,,,,,,,
simple-energy,True,638,,110500000,110500000,442945000,357.59,₹44.3 Cr+ (FY25),4.34,20,Growth Stage,true,
skyroot,True,1011,8.13,155090989,155090989,319940000,10.17,₹32.0 Cr+ (FY25),-23.42,23,Late Stage,true,
slicepay,True,2400,2.35,380869587,380869587,4108600000,88.56,₹410.9 Cr+ (FY23),90.34,34,Late Stage,true,
smallest-ai,True,105,3.96,21000000,21000000,9320000,,₹93.2 Lakh+ (FY25),,12,Growth Stage,true,
smartworks,True,1208,14.72,65361215,65361215,18012100000,30.78,"₹1,801.2 Cr+ (FY26)",22.94,15,,true,
snabbit,True,583,18.74,113200000,113200000,11057900,5428.95,₹1.1 Cr+ (FY25),33.72,13,Late Stage,true,
snapdeal,True,3421,0.06,1828560827,1828560827,2889500000,,₹288.9 Cr+ (FY24),6.21,27,Late Stage,true,
soket-ai,True,17,13.33,,,,,,,0,,false,
solarsquare,True,2403,15.58,113247584,113247584,3643030000,104.56,₹364.3 Cr+ (FY25),0.76,23,Growth Stage,true,
solinas-integrity,True,139,,6052177,6052177,98495000,118,₹9.8 Cr+ (FY25),-9.72,12,Early Stage,true,
sparrow-capital,True,13,18.18,,,,,,-3.6,0,,false,
speakx,True,65,1.56,23300000,23300000,,,,,19,Bridge Stage,false,
spense,True,46,17.95,4650000,4650000,,,,6.81,8,Late Stage,false,
spinny,True,4950,2.17,784200000,784200000,47518400000,24.36,"₹4,751.8 Cr+ (FY25)",-7.66,20,Late Stage,true,
square-yards,True,9584,5.81,208819037,208819037,3007000000,25.1,₹300.7 Cr+ (FY24),6.37,15,Growth Stage,true,
stch,False,,,,,,,,,,,,
stelcore-management-services,True,58,7.41,,,,,,-0.71,0,,false,
stockgro,True,209,,108568690,108568690,1255150000,26.38,₹125.5 Cr+ (FY25),4.92,29,Growth Stage,true,
storia-foods,True,316,0.32,,0,1706600000,50.64,₹170.7 Cr+ (FY24),83.72,1,Growth Stage,true,
sugar,True,1682,-0.24,90000000,90000000,5140500000,21.4,₹514.0 Cr+ (FY24),13.52,11,Late Stage,true,
suind,True,16,14.29,2710059,2710059,1262210,,₹12.6 Lakh+ (FY25),30.41,5,Early Stage,true,
sunstone,False,,,,,,,,,,,,
super-living,False,,,,,,,,,,,,
superleap,True,68,23.64,4200000,4200000,,,,5.84,1,Growth Stage,false,
supertails,True,337,2.43,58436702,58436702,330295000,,₹33.0 Cr+ (FY25),17.98,24,Late Stage,true,
supply6,True,42,13.51,6237348,6237348,110427000,124.35,₹11.0 Cr+ (FY25),10.2,23,Late Stage,true,
swiggy,True,29201,2.45,3577474544,3577474544,88870000000,,"₹8,887.0 Cr+ (FY26)",12.58,47,Late Stage,true,
swishx,False,,,,,,,,,,,,
switchon,True,87,,13194874,13194874,,,,-22.26,12,Growth Stage,false,
table-space,True,703,8.32,300000000,300000000,763780000,213.68,₹76.4 Cr+ (FY25),-0.68,1,,true,
tac-security,True,299,2.4,,0,216000000,,₹21.6 Cr+ (FY26),42.15,3,Early Stage,true,
takeme2space,True,36,28.57,5631101,5631101,2130120,,₹21.3 Lakh+ (FY25),19.02,6,Early Stage,true,
tata-digital,False,,,,,,,,,,,,
tata-sons,False,,,,,,,,,,,,
tek-travels,True,366,-1.35,,,6446300000,4.25,₹644.6 Cr+ (FY26),-16.99,0,,true,
temple,True,222,,54000000,54000000,,,,,11,Early Stage,true,
the-ayurveda-co,True,97,,15000000,15000000,616700000,71.69,₹61.7 Cr+ (FY24),-38.01,6,Growth Stage,true,
the-bear-house,True,258,7.95,6150050,6150050,1305740000,34.42,₹130.6 Cr+ (FY25),4.42,1,Growth Stage,true,
the-indus-valley,True,187,6.25,21282022,21282022,1166980000,61.04,₹116.7 Cr+ (FY25),6.85,14,Growth Stage,true,
the-wedding-company,True,422,5.24,3750000,3750000,24860800,,₹2.5 Cr+ (FY25),20.8,10,Early Stage,true,
third-unicorn,True,32,-3.03,3442824,3442824,23514100,,₹2.4 Cr+ (FY25),-8.65,8,Early Stage,true,
third-wave-coffee,True,1084,6.17,105000000,105000000,2852480000,15.06,₹285.2 Cr+ (FY25),11.33,6,Late Stage,true,
thumpn,False,,,,,,,,,,,,
tonbo-imaging,True,307,1.99,45900000,45900000,378700000,,₹37.9 Cr+ (FY24),-12.05,6,Late Stage,true,
tracxn,True,1407,1.15,13500000,13500000,903700000,3.83,₹90.4 Cr+ (FY25),0.55,9,Growth Stage,true,
transition-venture-capital,True,28,27.27,,,,,,15.06,0,,false,
trunativ,True,59,7.27,31100000,31100000,382509000,124.96,₹38.3 Cr+ (FY25),-39.12,5,Growth Stage,true,
turtlemint,True,2652,1.88,197000000,197000000,,,,-26.13,13,Late Stage,false,
tvf,True,446,2.29,22970000,22970000,1621000000,,₹162.1 Cr+ (FY24),13.42,2,Late Stage,true,
tvs-motor-company,True,31033,1.91,,,,,,3.37,0,,false,
typsy-beauty,True,46,6.98,2100000,2100000,55800000,896.43,₹5.6 Cr+ (FY24),3.3,6,,true,
uber-india,True,167033,1.26,,,,,,-0.23,0,,false,
udaan,True,10702,-0.07,2173149750,2173149750,2847600000,,₹284.8 Cr+ (FY24),-15.85,28,Late Stage,true,
ultrahuman,True,485,5.9,141300000,141300000,1023500000,318.78,₹102.3 Cr+ (FY24),8.49,34,Growth Stage,true,
unacademy,True,9694,-0.13,838500000,838500000,4551000000,,₹455.1 Cr+ (FY25),8.63,42,Late Stage,true,
uni-seoul,True,81,3.85,4185701,4185701,18128900,,₹1.8 Cr+ (FY25),-20.18,7,Growth Stage,true,
unicommerce,True,532,-1.3,10000000,10000000,1232300000,2.72,₹123.2 Cr+ (FY26),5.27,3,,true,
up,True,135,0.75,6197237,6197237,84201600,145.48,₹8.4 Cr+ (FY25),-5.26,8,Early Stage,true,
upgrad,True,4737,1.96,766911055,766911055,10715900000,68.66,"₹1,071.6 Cr+ (FY24)",2.5,17,Late Stage,true,
upstox,True,2144,-0.09,60253180,60253180,5294810000,638.67,₹529.5 Cr+ (FY25),-1.16,5,Late Stage,true,
urban-company,True,12532,5.03,550520356,550520356,12354600000,35.72,"₹1,235.5 Cr+ (FY26)",15.52,29,Late Stage,true,
utsav,True,78,2.63,4773194,4773194,24046600,57.75,₹2.4 Cr+ (FY25),-36.13,4,Growth Stage,true,
vaaree,True,89,-9.18,15391844,15391844,86900000,313.81,₹8.7 Cr+ (FY24),2.46,12,Growth Stage,true,
vahdam,True,292,4.29,,,,,,-3.44,0,,false,
veeba-foods,True,771,3.35,35103650,35103650,10265400000,15.97,"₹1,026.5 Cr+ (FY25)",-10.21,6,Late Stage,true,
veefin,True,439,-0.9,19000000,19000000,743200000,96.56,₹74.3 Cr+ (FY26),-4.89,1,Growth Stage,true,
veriqus-group,False,,,,,,,,,,,,
vetic,True,788,9.6,43689790,43689790,663594000,149.57,₹66.4 Cr+ (FY25),13.91,14,Late Stage,true,
vishal-mega-mart,True,624,-0.32,77022000,77022000,,,,-10.21,1,,false,
vobiz-ai,True,17,-5.56,1000000,1000000,,,,-1.64,1,Early Stage,false,
vorflux,False,,,,,,,,,,,,
vridhi-home-finance,True,296,,54918548,54918548,545809000,377.91,₹54.6 Cr+ (FY25),4.91,2,Growth Stage,true,
wakefit,True,2152,2.28,154760000,154760000,,,,2.7,9,Undisclosed,false,
wework-india,True,763,1.46,374310529,374310529,24814700000,23.06,"₹2,481.5 Cr+ (FY26)",-2.11,15,,true,
whatfix,True,1100,-0.54,264400000,264400000,4672550000,65.69,₹467.3 Cr+ (FY25),-11.91,18,Late Stage,true,
wheelocity,True,209,,35500000,35500000,80515000,,₹8.1 Cr+ (FY25),8.05,13,Growth Stage,true,
wingify,True,496,4.86,,,3015070000,31.6,₹301.5 Cr+ (FY24),-41.72,0,,true,
winzo,True,424,-5.36,115500000,115500000,8921940000,29.17,₹892.2 Cr+ (FY24),8.08,13,Late Stage,true,
yatra,True,2865,1.96,151557247,151557247,6658600000,26.6,₹665.9 Cr+ (FY26),-2.36,25,Late Stage,true,
yes-madam,True,1542,8.06,5380690,5380690,945004000,103.97,₹94.5 Cr+ (FY25),10.14,5,Early Stage,true,
yoga-clean-air,False,,,,,,,,,,,,
yotta-infrastructure,True,1207,5.6,,,,,,-14.45,0,,false,
yournest-venture-capital,True,35,,,,,,,-34.54,0,,false,
yulu,True,1122,2.75,228153003,228153003,2286300000,99.16,₹228.6 Cr+ (FY25),9.56,7,Late Stage,true,
yuma-energy,True,302,3.78,35000000,35000000,,,,-9.14,1,Growth Stage,false,
zaggle,True,544,0.93,110344381,110344381,18900700000,42.41,"₹1,890.1 Cr+ (FY26)",3.59,25,,true,
zanskar,True,17,41.67,318080,318080,4716670,2480.11,₹47.2 Lakh+ (FY25),-2.46,4,Early Stage,true,
zee5,True,741,2.77,,,,,,-36.96,0,,false,
zenergize,True,39,-7.14,6000000,6000000,27244,,₹27.2K+ (FY25),-23.2,12,Growth Stage,true,
zepto,True,19938,6.55,2445680500,2445680500,41783100000,101.11,"₹4,178.3 Cr+ (FY24)",-2.21,39,Late Stage,true,
zerodha,True,2875,0.1,,,99730800000,45.06,"₹9,973.1 Cr+ (FY24)",-4.48,0,,true,
zerodha-asset-management-private-limited,True,56,-3.45,,,,,,1.58,0,,false,
zetwerk,True,2668,0.53,929623139,929623139,87172200000,,"₹8,717.2 Cr+ (FY25)",3.37,36,Late Stage,true,
zoho,True,30918,0.4,,,72890500000,37.29,"₹7,289.1 Cr+ (FY23)",-1.83,0,,true,
zomato,True,26369,1.24,4585984701,4585984701,127020000000,28.6,"₹12,702.0 Cr+ (FY26)",3.73,41,Late Stage,true,
zoomcar,True,1178,0.68,256468575,256468575,846484000,1.57,₹84.6 Cr+ (FY25),-9.11,37,Late Stage,true,
zumutor-biologics,True,24,-4,29000000,29000000,46256400,,₹4.6 Cr+ (FY25),-31.52,9,Growth Stage,true,
zypp-electric,True,1194,0.93,62500000,62500000,4485770000,48.22,₹448.6 Cr+ (FY25),-14.79,32,Late Stage,true,
